Time,Players,LFMs
20-2-2020T00:00,238.40,12.06
21-2-2020T00:00,253.69,14.61
22-2-2020T00:00,316.86,14.67
23-2-2020T00:00,323.95,15.27
24-2-2020T00:00,258.77,15.88
25-2-2020T00:00,240.02,14.29
26-2-2020T00:00,235.93,12.50
27-2-2020T00:00,234.52,11.07
28-2-2020T00:00,251.40,12.20
29-2-2020T00:00,338.15,15.75
1-3-2020T00:00,344.17,16.89
2-3-2020T00:00,237.08,12.38
3-3-2020T00:00,232.12,11.14
4-3-2020T00:00,221.89,12.12
5-3-2020T00:00,229.99,11.41
6-3-2020T00:00,242.72,11.84
7-3-2020T00:00,296.97,14.29
8-3-2020T00:00,323.45,15.23
9-3-2020T00:00,240.14,11.66
10-3-2020T00:00,248.10,14.55
11-3-2020T00:00,224.94,11.89
12-3-2020T00:00,236.00,11.85
13-3-2020T00:00,262.46,14.57
14-3-2020T00:00,345.94,16.25
15-3-2020T00:00,377.68,19.28
16-3-2020T00:00,300.81,16.48
17-3-2020T00:00,306.67,16.57
18-3-2020T00:00,309.07,15.60
19-3-2020T00:00,330.30,15.97
20-3-2020T00:00,409.98,17.61
21-3-2020T00:00,522.15,21.05
22-3-2020T00:00,572.68,24.14
23-3-2020T00:00,487.67,22.60
24-3-2020T00:00,490.97,24.45
25-3-2020T00:00,503.01,22.97
26-3-2020T00:00,495.40,21.05
27-3-2020T00:00,528.90,21.33
28-3-2020T00:00,645.87,23.61
29-3-2020T00:00,671.78,23.53
30-3-2020T00:00,542.29,19.06
31-3-2020T00:00,494.08,19.40
1-4-2020T00:00,480.17,20.99
2-4-2020T00:00,487.37,20.15
3-4-2020T00:00,530.36,21.44
4-4-2020T00:00,632.46,21.57
5-4-2020T00:00,677.29,23.09
6-4-2020T00:00,572.89,18.69
7-4-2020T00:00,569.52,18.05
8-4-2020T00:00,587.97,19.31
9-4-2020T00:00,495.64,18.02
10-4-2020T00:00,547.68,19.21
11-4-2020T00:00,571.25,18.64
