Time,Players,LFMs
20-2-2020T0:00,183.00,12.00
20-2-2020T1:00,177.67,9.00
20-2-2020T2:00,157.42,7.42
20-2-2020T3:00,119.17,6.58
20-2-2020T4:00,97.25,8.58
20-2-2020T5:00,108.08,7.00
20-2-2020T6:00,116.08,7.17
20-2-2020T7:00,126.08,8.67
20-2-2020T8:00,149.75,10.83
20-2-2020T9:00,177.83,11.75
20-2-2020T10:00,199.50,9.58
20-2-2020T11:00,226.75,11.08
20-2-2020T12:00,259.25,17.17
20-2-2020T13:00,267.42,15.58
20-2-2020T14:00,292.00,15.08
20-2-2020T15:00,297.33,14.17
20-2-2020T16:00,321.25,18.92
20-2-2020T17:00,322.25,16.25
20-2-2020T18:00,354.33,17.00
20-2-2020T19:00,368.67,16.25
20-2-2020T20:00,397.25,13.42
20-2-2020T21:00,399.25,15.25
20-2-2020T22:00,341.00,11.83
20-2-2020T23:00,262.92,8.92
21-2-2020T0:00,218.50,9.58
21-2-2020T1:00,178.42,9.42
21-2-2020T2:00,142.17,8.42
21-2-2020T3:00,117.33,4.67
21-2-2020T4:00,111.83,6.75
21-2-2020T5:00,116.42,8.50
21-2-2020T6:00,123.83,9.92
21-2-2020T7:00,139.42,8.67
21-2-2020T8:00,184.25,12.08
21-2-2020T9:00,217.33,12.33
21-2-2020T10:00,240.08,11.17
21-2-2020T11:00,247.00,13.67
21-2-2020T12:00,250.92,19.42
21-2-2020T13:00,274.33,18.75
21-2-2020T14:00,294.42,19.83
21-2-2020T15:00,326.75,17.50
21-2-2020T16:00,325.67,17.00
21-2-2020T17:00,329.83,18.25
21-2-2020T18:00,326.92,23.08
21-2-2020T19:00,355.67,21.58
21-2-2020T20:00,403.67,23.33
21-2-2020T21:00,422.58,21.00
21-2-2020T22:00,398.58,20.83
21-2-2020T23:00,342.67,14.83
22-2-2020T0:00,283.25,13.33
22-2-2020T1:00,226.42,12.25
22-2-2020T2:00,180.58,8.75
22-2-2020T3:00,155.42,7.00
22-2-2020T4:00,158.42,5.83
22-2-2020T5:00,150.00,10.00
22-2-2020T6:00,148.92,8.92
22-2-2020T7:00,184.42,8.92
22-2-2020T8:00,226.92,11.67
22-2-2020T9:00,254.00,17.58
22-2-2020T10:00,314.17,17.92
22-2-2020T11:00,338.08,21.33
22-2-2020T12:00,354.67,18.17
22-2-2020T13:00,398.00,17.58
22-2-2020T14:00,416.83,17.42
22-2-2020T15:00,458.08,18.17
22-2-2020T16:00,460.50,22.67
22-2-2020T17:00,442.83,18.08
22-2-2020T18:00,432.25,22.00
22-2-2020T19:00,414.92,13.83
22-2-2020T20:00,428.33,16.58
22-2-2020T21:00,439.50,18.42
22-2-2020T22:00,400.00,13.83
22-2-2020T23:00,338.17,11.83
23-2-2020T0:00,305.75,15.42
23-2-2020T1:00,241.67,10.83
23-2-2020T2:00,183.17,10.08
23-2-2020T3:00,164.08,9.08
23-2-2020T4:00,152.50,7.58
23-2-2020T5:00,151.08,6.92
23-2-2020T6:00,155.92,8.33
23-2-2020T7:00,175.92,7.75
23-2-2020T8:00,225.25,9.67
23-2-2020T9:00,264.58,12.42
23-2-2020T10:00,309.75,13.33
23-2-2020T11:00,352.67,19.67
23-2-2020T12:00,397.83,19.33
23-2-2020T13:00,424.83,23.17
23-2-2020T14:00,448.75,22.58
23-2-2020T15:00,456.75,17.42
23-2-2020T16:00,451.25,20.17
23-2-2020T17:00,441.92,17.75
23-2-2020T18:00,442.67,18.50
23-2-2020T19:00,427.50,23.83
23-2-2020T20:00,429.75,20.83
23-2-2020T21:00,447.33,19.92
23-2-2020T22:00,392.25,16.17
23-2-2020T23:00,331.58,15.67
24-2-2020T0:00,273.67,16.25
24-2-2020T1:00,209.92,11.58
24-2-2020T2:00,165.67,10.67
24-2-2020T3:00,125.17,5.92
24-2-2020T4:00,118.92,7.33
24-2-2020T5:00,121.17,8.08
24-2-2020T6:00,129.92,7.67
24-2-2020T7:00,147.50,13.42
24-2-2020T8:00,167.92,11.08
24-2-2020T9:00,167.08,13.33
24-2-2020T10:00,203.83,17.75
24-2-2020T11:00,251.42,16.75
24-2-2020T12:00,269.17,14.58
24-2-2020T13:00,284.33,20.25
24-2-2020T14:00,297.08,24.08
24-2-2020T15:00,311.00,25.00
24-2-2020T16:00,314.83,29.25
24-2-2020T17:00,346.75,20.42
24-2-2020T18:00,358.92,17.42
24-2-2020T19:00,393.42,19.33
24-2-2020T20:00,451.17,17.17
24-2-2020T21:00,427.08,20.58
24-2-2020T22:00,374.83,16.33
24-2-2020T23:00,299.67,16.75
25-2-2020T0:00,222.08,16.58
25-2-2020T1:00,156.17,13.83
25-2-2020T2:00,125.58,9.83
25-2-2020T3:00,124.00,8.17
25-2-2020T4:00,106.75,3.75
25-2-2020T5:00,110.17,8.08
25-2-2020T6:00,119.08,9.17
25-2-2020T7:00,135.92,9.25
25-2-2020T8:00,152.92,9.25
25-2-2020T9:00,181.75,14.00
25-2-2020T10:00,203.25,13.00
25-2-2020T11:00,221.67,11.00
25-2-2020T12:00,256.08,15.33
25-2-2020T13:00,291.58,20.08
25-2-2020T14:00,312.25,23.50
25-2-2020T15:00,299.00,19.17
25-2-2020T16:00,315.08,24.00
25-2-2020T17:00,328.17,21.58
25-2-2020T18:00,340.17,16.00
25-2-2020T19:00,356.92,15.92
25-2-2020T20:00,402.92,15.42
25-2-2020T21:00,392.42,16.33
25-2-2020T22:00,331.42,15.58
25-2-2020T23:00,275.25,14.08
26-2-2020T0:00,233.75,11.25
26-2-2020T1:00,168.33,12.58
26-2-2020T2:00,130.58,10.25
26-2-2020T3:00,133.17,9.00
26-2-2020T4:00,126.00,8.83
26-2-2020T5:00,111.75,7.67
26-2-2020T6:00,114.00,8.75
26-2-2020T7:00,137.67,11.50
26-2-2020T8:00,135.67,8.50
26-2-2020T9:00,2.77,0.15
26-2-2020T10:00,0.00,0.00
26-2-2020T11:00,0.00,0.00
26-2-2020T12:00,205.92,11.50
26-2-2020T13:00,253.50,14.08
26-2-2020T14:00,313.00,17.92
26-2-2020T15:00,330.00,17.25
26-2-2020T16:00,323.58,16.00
26-2-2020T17:00,329.58,17.25
26-2-2020T18:00,346.75,16.08
26-2-2020T19:00,383.33,17.08
26-2-2020T20:00,406.58,19.08
26-2-2020T21:00,388.33,15.08
26-2-2020T22:00,339.50,14.50
26-2-2020T23:00,276.75,10.75
27-2-2020T0:00,217.75,11.58
27-2-2020T1:00,167.83,7.17
27-2-2020T2:00,144.17,6.00
27-2-2020T3:00,117.08,6.17
27-2-2020T4:00,93.58,7.17
27-2-2020T5:00,107.42,7.08
27-2-2020T6:00,113.92,6.08
27-2-2020T7:00,136.67,9.08
27-2-2020T8:00,157.67,9.67
27-2-2020T9:00,169.83,10.08
27-2-2020T10:00,210.67,12.00
27-2-2020T11:00,232.17,9.58
27-2-2020T12:00,246.50,10.92
27-2-2020T13:00,262.33,13.17
27-2-2020T14:00,300.67,16.42
27-2-2020T15:00,298.25,14.25
27-2-2020T16:00,302.75,13.92
