Time,Players,LFMs
05-06-2021T01:00,99.64,3.73
05-06-2021T02:00,109.17,3.33
05-06-2021T03:00,101.58,4.83
05-06-2021T04:00,82.67,7
05-06-2021T05:00,80.08,6.83
05-06-2021T06:00,89.08,5.33
05-06-2021T07:00,115.5,10.67
05-06-2021T08:00,131.42,8.83
05-06-2021T09:00,160.5,9.67
05-06-2021T10:00,180.67,9.75
05-06-2021T11:00,201.33,10.42
05-06-2021T12:00,232.67,7.83
05-06-2021T13:00,248.5,7.92
05-06-2021T14:00,258.42,8.17
05-06-2021T15:00,242.92,8.33
05-06-2021T16:00,247.33,13.83
05-06-2021T17:00,239.58,10.08
05-06-2021T18:00,233.33,10.25
05-06-2021T19:00,251.08,11.17
05-06-2021T20:00,254.17,11.08
05-06-2021T21:00,246.36,6.18
05-06-2021T22:00,227.42,7.17
05-06-2021T23:00,202.33,8
06-06-2021T00:00,156.17,6.08
06-06-2021T01:00,132.67,4.5
06-06-2021T02:00,118.83,4.08
06-06-2021T03:00,113.75,5.83
06-06-2021T04:00,101,5.17
06-06-2021T05:00,99.92,6.42
06-06-2021T06:00,107.67,8.92
06-06-2021T07:00,127,7.92
06-06-2021T08:00,160.25,11.83
06-06-2021T09:00,204.42,13.5
06-06-2021T10:00,228.42,10.08
06-06-2021T11:00,244.33,13
06-06-2021T12:00,261,8.17
06-06-2021T13:00,270.17,10.58
06-06-2021T14:00,283.83,12.08
06-06-2021T15:00,281,12.92
06-06-2021T16:00,252.5,8.83
06-06-2021T17:00,226.58,6.67
06-06-2021T18:00,223.25,8.42
06-06-2021T19:00,235.42,11.33
06-06-2021T20:00,237,7.42
06-06-2021T21:00,220.33,9.33
06-06-2021T22:00,188.58,11.08
06-06-2021T23:00,140.5,9.67
07-06-2021T00:00,109.5,5.58
07-06-2021T01:00,82.33,4.75
07-06-2021T02:00,58,4.25
07-06-2021T03:00,59.08,4
07-06-2021T04:00,56,3.75
07-06-2021T05:00,47.5,3.42
07-06-2021T06:00,53.83,4.25
07-06-2021T07:00,74.75,3.08
07-06-2021T08:00,86.33,4.08
07-06-2021T09:00,96.83,6.17
07-06-2021T10:00,110.33,7.5
07-06-2021T11:00,131.33,8.75
07-06-2021T12:00,142,9
07-06-2021T13:00,165.92,10.25
07-06-2021T14:00,188.5,9.5
07-06-2021T15:00,190.08,7.5
07-06-2021T16:00,174.67,10.25
07-06-2021T17:00,188.67,8.92
07-06-2021T18:00,209.33,9.25
07-06-2021T19:00,227.08,8.25
07-06-2021T20:00,242.42,7.17
07-06-2021T21:00,225.83,8
07-06-2021T22:00,188.25,8.83
07-06-2021T23:00,130.83,5.83
08-06-2021T00:00,90.75,3.92
08-06-2021T01:00,75.58,5.08
08-06-2021T02:00,69.67,3.75
08-06-2021T03:00,71.58,5.17
08-06-2021T04:00,64.58,5.17
08-06-2021T05:00,62.75,5.42
08-06-2021T06:00,77.42,4.92
08-06-2021T07:00,86.5,4.33
08-06-2021T08:00,103,4
08-06-2021T09:00,113.58,8.83
08-06-2021T10:00,125.67,7.92
08-06-2021T11:00,131.08,7.08
08-06-2021T12:00,145.08,11.33
08-06-2021T13:00,148.17,9.5
08-06-2021T14:00,157.67,11.58
08-06-2021T15:00,173.08,9.75
08-06-2021T16:00,154.58,8.67
08-06-2021T17:00,171.75,7
08-06-2021T18:00,205.83,9.83
08-06-2021T19:00,215.25,6.25
08-06-2021T20:00,225.25,7.75
08-06-2021T21:00,222.5,7.08
08-06-2021T22:00,171.75,6
08-06-2021T23:00,144,6.75
09-06-2021T00:00,105.25,6
09-06-2021T01:00,80.83,3.25
09-06-2021T02:00,71,4.92
09-06-2021T03:00,70.75,6.5
09-06-2021T04:00,54.92,4.5
09-06-2021T05:00,59.5,4.83
09-06-2021T06:00,66.33,2.5
09-06-2021T07:00,59.25,0.75
09-06-2021T08:00,26,0
09-06-2021T09:00,55.71,5
09-06-2021T10:00,92.42,8.33
09-06-2021T11:00,117,8.08
09-06-2021T12:00,134.5,8.5
09-06-2021T13:00,163.92,12.33
09-06-2021T14:00,179.58,8.33
09-06-2021T15:00,180.75,10.42
09-06-2021T16:00,166.67,8
09-06-2021T17:00,172.33,8.33
09-06-2021T18:00,172.08,7.25
09-06-2021T19:00,193.08,7.25
09-06-2021T20:00,194.83,7.92
09-06-2021T21:00,189.33,5.33
09-06-2021T22:00,177.5,8.25
09-06-2021T23:00,137.25,3.92
10-06-2021T00:00,96.33,2.67
10-06-2021T01:00,86.42,3.33
10-06-2021T10:00,75.5,5
10-06-2021T11:00,125.75,6.83
10-06-2021T12:00,162,11.25
10-06-2021T13:00,172.33,8
10-06-2021T14:00,189.92,9.33
10-06-2021T15:00,187.08,8.75
10-06-2021T16:00,170.92,10.58
10-06-2021T17:00,183.67,7
10-06-2021T18:00,211.67,9.25
10-06-2021T19:00,208.08,8.67
10-06-2021T20:00,227,9.92
10-06-2021T21:00,218.42,9.58
10-06-2021T22:00,182.08,6.42
10-06-2021T23:00,153.92,6.75
11-06-2021T00:00,101.58,3.92
11-06-2021T01:00,94,4.33
11-06-2021T02:00,74.33,3.42
11-06-2021T03:00,83.08,4.67
11-06-2021T04:00,68.83,3.08
11-06-2021T05:00,59.67,2.42
11-06-2021T06:00,70.67,3.33
11-06-2021T07:00,87.17,3.25
11-06-2021T08:00,91.83,6.17
11-06-2021T09:00,116.08,7.5
11-06-2021T10:00,118.17,7
11-06-2021T11:00,135,5.17
11-06-2021T12:00,132.08,4.58
11-06-2021T13:00,172,6.17
11-06-2021T14:00,202.83,9.25
11-06-2021T15:00,207.58,7.08
11-06-2021T16:00,183.75,6.92
11-06-2021T17:00,172.5,9.92
11-06-2021T18:00,204.25,11.67
11-06-2021T19:00,237.17,13.67
11-06-2021T20:00,264.58,10.25
11-06-2021T21:00,247.75,7.67
11-06-2021T22:00,216.5,8.08
11-06-2021T23:00,175.42,7.67
12-06-2021T00:00,125.42,5.92
