Time,Players,LFMs
23-02-2020T00:00,269.05,13.95
01-03-2020T00:00,253.04,12.52
08-03-2020T00:00,273.91,14.13
15-03-2020T00:00,379.69,17.68
22-03-2020T00:00,540.85,22.71
29-03-2020T00:00,540.81,20.65
05-04-2020T00:00,562.58,18.85
12-04-2020T00:00,478.23,16.91
19-04-2020T00:00,436.11,16.5
26-04-2020T00:00,413.3,15.76
03-05-2020T00:00,378.95,15.23
10-05-2020T00:00,359.87,14.24
17-05-2020T00:00,338.93,14.93
24-05-2020T00:00,333.34,13.86
31-05-2020T00:00,313.58,13.01
07-06-2020T00:00,310.78,13.61
14-06-2020T00:00,295.18,12.86
21-06-2020T00:00,252.33,10.49
28-06-2020T00:00,233.33,9.6
05-07-2020T00:00,222.34,8.85
12-07-2020T00:00,206.22,8.96
19-07-2020T00:00,214.89,9.44
26-07-2020T00:00,223.66,10.29
02-08-2020T00:00,191.23,9.03
09-08-2020T00:00,197.27,7.81
16-08-2020T00:00,198.46,8.2
23-08-2020T00:00,210,9.13
30-08-2020T00:00,198.16,8.95
06-09-2020T00:00,198,8.31
13-09-2020T00:00,196.17,8.03
20-09-2020T00:00,198.9,9.3
27-09-2020T00:00,186,8.16
04-10-2020T00:00,198.36,8.57
11-10-2020T00:00,210.97,8.15
18-10-2020T00:00,213.36,8.74
25-10-2020T00:00,208.74,8.66
01-11-2020T00:00,212.88,8.92
08-11-2020T00:00,218.71,9.26
15-11-2020T00:00,212.18,9.17
22-11-2020T00:00,232.09,9.78
29-11-2020T00:00,220.23,8.82
06-12-2020T00:00,220.5,8.33
13-12-2020T00:00,221.48,8.99
20-12-2020T00:00,220.94,8.4
27-12-2020T00:00,255.88,10.33
03-01-2021T00:00,216.37,9.23
10-01-2021T00:00,222.89,8.01
17-01-2021T00:00,231.14,9.26
24-01-2021T00:00,220.43,8.58
31-01-2021T00:00,224.27,9.01
07-02-2021T00:00,218.42,9.49
14-02-2021T00:00,224.32,9.58
21-02-2021T00:00,225.51,8.65
28-02-2021T00:00,231.97,9.64
07-03-2021T00:00,225.48,8.85
14-03-2021T00:00,226.6,9.28
21-03-2021T00:00,215.58,9.34
28-03-2021T00:00,174.75,7.19
04-04-2021T00:00,153.2,5.93
11-04-2021T00:00,154.65,5.86
18-04-2021T00:00,149.49,7.1
25-04-2021T00:00,155.93,7.33
02-05-2021T00:00,158.37,8
09-05-2021T00:00,152.07,7.29
16-05-2021T00:00,159.35,7.4
23-05-2021T00:00,154.22,6.63
