Time,Players,LFMs
11-06-2021T01:55,87,3
11-06-2021T02:00,84,4
11-06-2021T02:05,82,5
11-06-2021T02:10,77,4
11-06-2021T02:15,79,4
11-06-2021T02:20,73,4
11-06-2021T02:25,69,3
11-06-2021T02:30,70,3
11-06-2021T02:35,68,3
11-06-2021T02:40,68,3
11-06-2021T02:45,76,3
11-06-2021T02:50,73,2
11-06-2021T02:55,73,3
11-06-2021T03:00,78,3
11-06-2021T03:05,81,3
11-06-2021T03:10,79,2
11-06-2021T03:15,76,3
11-06-2021T03:20,79,5
11-06-2021T03:25,81,5
11-06-2021T03:30,82,5
11-06-2021T03:35,85,6
11-06-2021T03:40,87,6
11-06-2021T03:45,90,7
11-06-2021T03:50,89,6
11-06-2021T03:55,90,5
11-06-2021T04:00,86,3
11-06-2021T04:05,77,2
11-06-2021T04:10,70,3
11-06-2021T04:15,65,4
11-06-2021T04:20,69,3
11-06-2021T04:25,67,3
11-06-2021T04:30,70,3
11-06-2021T04:35,59,3
11-06-2021T04:40,67,3
11-06-2021T04:45,65,3
11-06-2021T04:50,65,3
11-06-2021T04:55,66,4
11-06-2021T05:00,66,5
11-06-2021T05:05,61,5
11-06-2021T05:10,62,4
11-06-2021T05:15,60,3
11-06-2021T05:20,61,3
11-06-2021T05:25,58,3
11-06-2021T05:30,57,1
11-06-2021T05:35,56,1
11-06-2021T05:40,55,0
11-06-2021T05:45,58,1
11-06-2021T05:50,61,1
11-06-2021T05:55,61,2
11-06-2021T06:00,62,2
11-06-2021T06:05,60,3
11-06-2021T06:10,61,3
11-06-2021T06:15,62,4
11-06-2021T06:20,65,4
11-06-2021T06:25,69,4
11-06-2021T06:30,63,4
11-06-2021T06:35,71,4
11-06-2021T06:40,81,3
11-06-2021T06:45,85,3
11-06-2021T06:50,85,4
11-06-2021T06:55,84,2
11-06-2021T07:00,81,3
11-06-2021T07:05,81,4
11-06-2021T07:10,82,4
11-06-2021T07:15,86,4
11-06-2021T07:20,85,5
11-06-2021T07:25,91,2
11-06-2021T07:30,92,2
11-06-2021T07:35,93,2
11-06-2021T07:40,93,3
11-06-2021T07:45,86,3
11-06-2021T07:50,86,3
11-06-2021T07:55,90,4
11-06-2021T08:00,89,5
11-06-2021T08:05,87,5
11-06-2021T08:10,85,6
11-06-2021T08:15,80,6
11-06-2021T08:20,85,6
11-06-2021T08:25,88,7
11-06-2021T08:30,89,7
11-06-2021T08:35,90,7
11-06-2021T08:40,95,7
11-06-2021T08:45,103,7
11-06-2021T08:50,104,5
11-06-2021T08:55,107,6
11-06-2021T09:00,107,8
11-06-2021T09:05,113,7
11-06-2021T09:10,115,6
11-06-2021T09:15,124,7
11-06-2021T09:20,120,7
11-06-2021T09:25,122,9
11-06-2021T09:30,114,7
11-06-2021T09:35,116,9
11-06-2021T09:40,113,9
11-06-2021T09:45,113,6
11-06-2021T09:50,117,7
11-06-2021T09:55,119,8
11-06-2021T10:00,122,9
11-06-2021T10:05,115,9
11-06-2021T10:10,112,10
11-06-2021T10:15,117,7
11-06-2021T10:20,118,7
11-06-2021T10:25,119,7
11-06-2021T10:30,115,6
11-06-2021T10:35,116,7
11-06-2021T10:40,120,6
11-06-2021T10:45,123,6
11-06-2021T10:50,118,6
11-06-2021T10:55,123,4
11-06-2021T11:00,126,5
11-06-2021T11:05,126,4
11-06-2021T11:10,123,7
11-06-2021T11:15,127,5
11-06-2021T11:20,132,4
11-06-2021T11:25,132,3
11-06-2021T11:30,140,6
11-06-2021T11:35,142,6
11-06-2021T11:40,147,7
11-06-2021T11:45,144,7
11-06-2021T11:50,141,4
11-06-2021T11:55,140,4
11-06-2021T12:00,134,3
11-06-2021T12:05,132,4
11-06-2021T12:10,130,4
11-06-2021T12:15,128,5
11-06-2021T12:20,128,5
11-06-2021T12:25,125,5
11-06-2021T12:30,124,4
11-06-2021T12:35,129,6
11-06-2021T12:40,128,7
11-06-2021T12:45,132,4
11-06-2021T12:50,143,3
11-06-2021T12:55,152,5
11-06-2021T13:00,151,6
11-06-2021T13:05,157,6
11-06-2021T13:10,162,5
11-06-2021T13:15,163,6
11-06-2021T13:20,157,5
11-06-2021T13:25,174,5
11-06-2021T13:30,175,6
11-06-2021T13:35,182,6
11-06-2021T13:40,185,8
11-06-2021T13:45,187,7
11-06-2021T13:50,186,6
11-06-2021T13:55,185,8
11-06-2021T14:00,193,7
11-06-2021T14:05,191,9
11-06-2021T14:10,200,11
11-06-2021T14:15,206,9
11-06-2021T14:20,212,8
11-06-2021T14:25,207,9
11-06-2021T14:30,205,9
11-06-2021T14:35,199,9
11-06-2021T14:40,200,8
11-06-2021T14:45,207,9
11-06-2021T14:50,206,12
11-06-2021T14:55,208,11
11-06-2021T15:00,218,13
11-06-2021T15:05,210,7
11-06-2021T15:10,203,8
11-06-2021T15:15,202,6
11-06-2021T15:20,205,6
11-06-2021T15:25,209,7
11-06-2021T15:30,210,6
11-06-2021T15:35,214,6
11-06-2021T15:40,210,8
11-06-2021T15:45,205,7
11-06-2021T15:50,205,5
11-06-2021T15:55,200,6
11-06-2021T16:00,203,7
11-06-2021T16:05,200,9
11-06-2021T16:10,195,7
11-06-2021T16:15,190,8
11-06-2021T16:20,186,7
11-06-2021T16:25,183,8
11-06-2021T16:30,184,6
11-06-2021T16:35,175,6
11-06-2021T16:40,175,6
11-06-2021T16:45,174,6
11-06-2021T16:50,174,6
11-06-2021T16:55,166,7
11-06-2021T17:00,169,6
11-06-2021T17:05,167,9
11-06-2021T17:10,164,6
11-06-2021T17:15,163,7
11-06-2021T17:20,165,8
11-06-2021T17:25,178,13
11-06-2021T17:30,174,11
11-06-2021T17:35,177,10
11-06-2021T17:40,178,14
11-06-2021T17:45,179,10
11-06-2021T17:50,180,12
11-06-2021T17:55,176,13
11-06-2021T18:00,172,13
11-06-2021T18:05,188,12
11-06-2021T18:10,195,10
11-06-2021T18:15,202,6
11-06-2021T18:20,205,8
11-06-2021T18:25,207,9
11-06-2021T18:30,211,11
11-06-2021T18:35,214,13
11-06-2021T18:40,210,15
11-06-2021T18:45,209,12
11-06-2021T18:50,216,13
11-06-2021T18:55,222,18
11-06-2021T19:00,225,18
11-06-2021T19:05,235,18
11-06-2021T19:10,227,13
11-06-2021T19:15,230,14
11-06-2021T19:20,233,13
11-06-2021T19:25,237,12
11-06-2021T19:30,232,12
11-06-2021T19:35,240,13
11-06-2021T19:40,242,12
11-06-2021T19:45,241,15
11-06-2021T19:50,247,12
11-06-2021T19:55,257,12
11-06-2021T20:00,259,13
11-06-2021T20:05,261,12
11-06-2021T20:10,261,11
11-06-2021T20:15,267,11
11-06-2021T20:20,266,11
11-06-2021T20:25,262,10
11-06-2021T20:30,268,12
11-06-2021T20:35,273,9
11-06-2021T20:40,267,7
11-06-2021T20:45,265,9
11-06-2021T20:50,268,9
11-06-2021T20:55,258,9
11-06-2021T21:00,249,7
11-06-2021T21:05,253,9
11-06-2021T21:10,251,8
11-06-2021T21:15,260,7
11-06-2021T21:20,254,8
11-06-2021T21:25,245,8
11-06-2021T21:30,252,7
11-06-2021T21:35,246,7
11-06-2021T21:40,249,9
11-06-2021T21:45,238,10
11-06-2021T21:50,239,8
11-06-2021T21:55,237,4
11-06-2021T22:00,232,7
11-06-2021T22:05,223,7
11-06-2021T22:10,228,10
11-06-2021T22:15,229,10
11-06-2021T22:20,217,8
11-06-2021T22:25,218,10
11-06-2021T22:30,215,9
11-06-2021T22:35,210,8
11-06-2021T22:40,206,7
11-06-2021T22:45,209,8
11-06-2021T22:50,211,7
11-06-2021T22:55,200,6
11-06-2021T23:00,193,5
11-06-2021T23:05,189,7
11-06-2021T23:10,186,6
11-06-2021T23:15,180,8
11-06-2021T23:20,178,7
11-06-2021T23:25,176,8
11-06-2021T23:30,170,9
11-06-2021T23:35,175,8
11-06-2021T23:40,169,9
11-06-2021T23:45,168,8
11-06-2021T23:50,163,9
11-06-2021T23:55,158,8
12-06-2021T00:00,150,10
12-06-2021T00:05,144,8
12-06-2021T00:10,129,8
12-06-2021T00:15,122,5
12-06-2021T00:20,118,5
12-06-2021T00:25,117,5
12-06-2021T00:30,119,5
12-06-2021T00:35,123,5
12-06-2021T00:40,125,5
12-06-2021T00:45,119,4
12-06-2021T00:50,119,6
12-06-2021T00:55,120,5
12-06-2021T01:00,125,6
12-06-2021T01:05,125,7
12-06-2021T01:10,122,6
12-06-2021T01:15,116,5
12-06-2021T01:20,114,6
12-06-2021T01:25,116,7
12-06-2021T01:30,111,8
12-06-2021T01:35,112,8
12-06-2021T01:40,106,7
12-06-2021T01:45,102,8
12-06-2021T01:50,105,9
