Time,Players,LFMs
3-4-2020T00:00,530.36,21.44
4-4-2020T00:00,632.46,21.57
5-4-2020T00:00,677.29,23.09
6-4-2020T00:00,572.89,18.69
7-4-2020T00:00,569.52,18.05
8-4-2020T00:00,587.97,19.31
9-4-2020T00:00,495.64,18.02
10-4-2020T00:00,547.68,19.21
11-4-2020T00:00,571.25,18.64
12-4-2020T00:00,591.52,21.21
13-4-2020T00:00,506.96,17.78
14-4-2020T00:00,469.16,17.14
15-4-2020T00:00,406.98,14.77
16-4-2020T00:00,433.22,15.41
17-4-2020T00:00,453.83,16.14
18-4-2020T00:00,542.84,18.01
19-4-2020T00:00,528.28,18.21
20-4-2020T00:00,430.91,16.77
21-4-2020T00:00,421.68,16.67
22-4-2020T00:00,418.18,15.96
23-4-2020T00:00,397.49,17.00
24-4-2020T00:00,407.44,15.57
25-4-2020T00:00,516.26,18.99
26-4-2020T00:00,522.82,17.51
27-4-2020T00:00,397.78,16.13
28-4-2020T00:00,389.81,17.07
29-4-2020T00:00,376.97,15.05
30-4-2020T00:00,394.43,15.22
1-5-2020T00:00,418.28,14.66
2-5-2020T00:00,473.50,16.42
3-5-2020T00:00,463.86,16.87
4-5-2020T00:00,360.24,14.67
5-5-2020T00:00,344.46,13.55
6-5-2020T00:00,338.49,14.66
7-5-2020T00:00,352.91,13.45
8-5-2020T00:00,373.96,15.07
9-5-2020T00:00,456.38,18.12
10-5-2020T00:00,428.40,17.71
11-5-2020T00:00,349.22,12.65
12-5-2020T00:00,343.71,14.05
13-5-2020T00:00,326.04,13.99
14-5-2020T00:00,318.05,12.21
15-5-2020T00:00,349.83,13.90
16-5-2020T00:00,417.52,16.13
17-5-2020T00:00,422.38,17.49
18-5-2020T00:00,331.68,14.97
19-5-2020T00:00,315.44,15.22
20-5-2020T00:00,287.09,13.44
21-5-2020T00:00,311.90,13.22
22-5-2020T00:00,340.40,15.49
23-5-2020T00:00,398.45,16.02
24-5-2020T00:00,410.59,17.51
25-5-2020T00:00,372.85,14.68
26-5-2020T00:00,310.53,12.98
27-5-2020T00:00,294.05,12.07
28-5-2020T00:00,306.79,13.91
29-5-2020T00:00,308.64,13.32
30-5-2020T00:00,374.31,14.96
31-5-2020T00:00,375.75,15.16
1-6-2020T00:00,293.27,13.18
