Time,Players,LFMs
31-10-2020T18:00,351.92,8.58
31-10-2020T19:00,318.33,11.08
31-10-2020T20:00,302.83,8.33
31-10-2020T21:00,311.17,10.25
31-10-2020T22:00,272.25,8.42
31-10-2020T23:00,224.33,7.00
1-11-2020T0:00,176.00,8.25
1-11-2020T1:00,145.58,7.58
1-11-2020T2:00,106.58,7.25
1-11-2020T3:00,108.42,7.67
1-11-2020T4:00,0.00,0.00
1-11-2020T5:00,140.00,9.17
1-11-2020T6:00,163.67,12.33
1-11-2020T7:00,190.92,10.50
1-11-2020T8:00,220.17,8.67
1-11-2020T9:00,263.25,8.00
1-11-2020T10:00,293.42,13.58
1-11-2020T11:00,305.33,13.42
1-11-2020T12:00,349.18,12.18
1-11-2020T13:00,358.00,12.60
1-11-2020T14:00,368.25,12.67
1-11-2020T15:00,370.08,10.75
1-11-2020T16:00,370.17,15.92
1-11-2020T17:00,347.00,11.17
1-11-2020T18:00,335.75,10.42
1-11-2020T19:00,313.08,13.50
1-11-2020T20:00,324.25,14.92
1-11-2020T21:00,304.50,11.83
1-11-2020T22:00,279.50,10.83
1-11-2020T23:00,215.33,8.92
2-11-2020T0:00,170.00,6.67
2-11-2020T1:00,130.58,4.50
2-11-2020T2:00,91.17,3.00
2-11-2020T3:00,90.50,3.25
2-11-2020T4:00,95.00,5.00
2-11-2020T5:00,87.50,4.58
2-11-2020T6:00,89.83,3.00
2-11-2020T7:00,105.17,2.67
2-11-2020T8:00,130.75,6.75
2-11-2020T9:00,162.83,9.33
2-11-2020T10:00,174.25,8.42
2-11-2020T11:00,185.83,10.83
2-11-2020T12:00,213.00,9.75
2-11-2020T13:00,261.83,11.83
2-11-2020T14:00,269.58,11.25
2-11-2020T15:00,270.58,10.50
2-11-2020T16:00,274.83,10.42
2-11-2020T17:00,254.50,12.42
2-11-2020T18:00,254.00,12.33
2-11-2020T19:00,284.67,11.67
2-11-2020T20:00,296.50,10.50
2-11-2020T21:00,288.67,9.08
2-11-2020T22:00,265.25,7.58
2-11-2020T23:00,204.75,6.58
3-11-2020T0:00,158.92,6.92
3-11-2020T1:00,119.00,5.50
3-11-2020T2:00,86.67,2.00
3-11-2020T3:00,80.75,3.25
3-11-2020T4:00,91.08,5.00
3-11-2020T5:00,100.42,5.17
3-11-2020T6:00,103.50,3.50
3-11-2020T7:00,103.83,4.67
3-11-2020T8:00,121.42,5.67
3-11-2020T9:00,145.17,8.50
3-11-2020T10:00,154.00,6.08
3-11-2020T11:00,187.08,7.75
3-11-2020T12:00,217.50,9.00
3-11-2020T13:00,257.75,12.42
3-11-2020T14:00,272.17,14.92
3-11-2020T15:00,273.92,15.67
3-11-2020T16:00,272.25,13.08
3-11-2020T17:00,301.33,14.25
3-11-2020T18:00,273.50,14.17
3-11-2020T19:00,288.67,15.33
3-11-2020T20:00,319.00,13.75
3-11-2020T21:00,301.75,10.17
3-11-2020T22:00,262.33,12.67
3-11-2020T23:00,213.58,8.50
4-11-2020T0:00,163.67,6.08
4-11-2020T1:00,125.75,3.92
4-11-2020T2:00,105.08,2.75
4-11-2020T3:00,88.00,3.67
4-11-2020T4:00,85.42,7.17
4-11-2020T5:00,85.75,7.00
4-11-2020T6:00,87.67,5.17
4-11-2020T7:00,104.42,6.92
4-11-2020T8:00,129.50,6.25
4-11-2020T9:00,157.58,7.25
4-11-2020T10:00,169.83,5.83
4-11-2020T11:00,183.83,10.00
4-11-2020T12:00,206.00,11.58
4-11-2020T13:00,202.33,8.00
4-11-2020T14:00,222.70,8.00
4-11-2020T15:00,259.67,10.00
4-11-2020T16:00,280.83,11.08
4-11-2020T17:00,273.25,13.33
4-11-2020T18:00,279.83,13.75
4-11-2020T19:00,275.58,9.17
4-11-2020T20:00,281.17,13.33
4-11-2020T21:00,266.42,9.33
4-11-2020T22:00,244.92,10.25
4-11-2020T23:00,200.50,13.58
5-11-2020T0:00,151.75,6.92
5-11-2020T1:00,124.92,3.67
5-11-2020T2:00,106.83,2.25
5-11-2020T3:00,98.75,3.08
5-11-2020T4:00,94.25,4.67
5-11-2020T5:00,114.42,6.67
5-11-2020T6:00,104.08,6.17
5-11-2020T7:00,108.33,7.42
5-11-2020T8:00,100.33,7.25
5-11-2020T9:00,2.00,0.00
5-11-2020T10:00,0.00,0.00
5-11-2020T11:00,0.00,0.00
5-11-2020T12:00,0.00,0.00
5-11-2020T13:00,120.00,8.45
5-11-2020T14:00,236.25,15.42
5-11-2020T15:00,274.92,10.58
5-11-2020T16:00,287.83,10.83
5-11-2020T17:00,280.42,12.17
5-11-2020T18:00,272.08,11.33
5-11-2020T19:00,294.83,13.42
5-11-2020T20:00,320.83,11.25
5-11-2020T21:00,319.75,10.17
5-11-2020T22:00,298.75,10.33
5-11-2020T23:00,231.00,10.83
6-11-2020T0:00,180.17,7.17
6-11-2020T1:00,129.50,4.58
6-11-2020T2:00,108.25,6.92
6-11-2020T3:00,96.08,5.75
6-11-2020T4:00,86.92,5.00
6-11-2020T5:00,95.75,6.17
6-11-2020T6:00,110.50,6.33
6-11-2020T7:00,126.42,6.50
6-11-2020T8:00,135.67,6.00
6-11-2020T9:00,160.67,9.50
6-11-2020T10:00,200.92,8.83
6-11-2020T11:00,208.17,8.25
6-11-2020T12:00,223.08,8.67
6-11-2020T13:00,244.92,7.42
6-11-2020T14:00,268.92,9.58
6-11-2020T15:00,286.50,10.25
6-11-2020T16:00,303.33,9.42
6-11-2020T17:00,326.17,8.92
6-11-2020T18:00,328.42,9.92
6-11-2020T19:00,307.67,10.50
6-11-2020T20:00,307.25,11.25
6-11-2020T21:00,340.17,14.08
6-11-2020T22:00,318.58,15.25
6-11-2020T23:00,257.92,9.42
7-11-2020T0:00,212.67,9.75
7-11-2020T1:00,164.17,7.58
7-11-2020T2:00,131.92,4.83
7-11-2020T3:00,106.92,5.33
7-11-2020T4:00,107.42,6.42
7-11-2020T5:00,115.25,6.08
7-11-2020T6:00,148.00,4.92
7-11-2020T7:00,166.58,5.83
7-11-2020T8:00,181.83,7.67
7-11-2020T9:00,221.75,7.25
7-11-2020T10:00,273.58,8.92
7-11-2020T11:00,293.08,11.92
