Class,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder
Alchemist,0.04076,0.04968,0.0829,0.06283,0.05995,0.04235,0.04075,0
Artificer,0.14674,0.10799,0.12176,0.09162,0.12807,0.11075,0.12853,0.12222
Barbarian,0.08696,0.09287,0.08031,0.08639,0.10082,0.07818,0.07053,0.08889
Bard,0.03533,0.03888,0.06736,0.07592,0.04632,0.03257,0.05016,0.06667
Cleric,0.05978,0.06911,0.05699,0.08901,0.08992,0.0456,0.06583,0.08889
Druid,0.02446,0.03672,0.03886,0.0445,0.01907,0.04886,0.02978,0.01111
Favored Soul,0.05163,0.0324,0.04145,0.04188,0.04087,0.0456,0.05016,0.03333
Fighter,0.13587,0.12095,0.14508,0.13613,0.15259,0.13029,0.12382,0.16667
Monk,0.05707,0.054,0.08031,0.06021,0.05722,0.07492,0.04232,0.03333
Paladin,0.09783,0.15119,0.08808,0.10733,0.06812,0.13681,0.11129,0.11111
Ranger,0.11685,0.11663,0.11399,0.11257,0.13351,0.11075,0.10502,0.1
Rogue,0.22554,0.24406,0.22539,0.23037,0.25613,0.19544,0.23668,0.34444
Sorcerer,0.09239,0.07991,0.08808,0.09162,0.07629,0.07492,0.06583,0.06667
Warlock,0.08967,0.09503,0.07772,0.10733,0.08174,0.11401,0.06583,0.07778
Wizard,0.10326,0.12743,0.11399,0.1178,0.14169,0.13355,0.14734,0.14444
