Time,Players,LFMs
20-2-2020T00:00,191.84,8.03
21-2-2020T00:00,215.92,8.70
22-2-2020T00:00,257.42,10.91
23-2-2020T00:00,253.53,9.55
24-2-2020T00:00,198.40,9.23
25-2-2020T00:00,190.18,8.60
26-2-2020T00:00,184.69,8.97
27-2-2020T00:00,197.40,8.38
28-2-2020T00:00,205.55,7.90
29-2-2020T00:00,264.04,11.22
1-3-2020T00:00,277.78,10.73
2-3-2020T00:00,197.05,10.07
3-3-2020T00:00,189.57,9.74
4-3-2020T00:00,178.22,8.33
5-3-2020T00:00,190.22,8.98
6-3-2020T00:00,205.97,9.32
7-3-2020T00:00,237.83,9.77
8-3-2020T00:00,263.71,10.32
9-3-2020T00:00,194.31,7.21
10-3-2020T00:00,191.67,7.90
11-3-2020T00:00,174.59,6.54
12-3-2020T00:00,189.69,9.35
13-3-2020T00:00,208.56,8.56
14-3-2020T00:00,278.96,9.23
15-3-2020T00:00,277.31,11.48
16-3-2020T00:00,208.04,10.61
17-3-2020T00:00,219.96,10.57
18-3-2020T00:00,216.72,10.21
19-3-2020T00:00,238.84,9.26
20-3-2020T00:00,285.27,12.44
21-3-2020T00:00,356.62,11.68
22-3-2020T00:00,373.48,12.48
23-3-2020T00:00,280.02,13.02
24-3-2020T00:00,293.97,13.77
25-3-2020T00:00,274.18,12.25
26-3-2020T00:00,294.80,11.66
27-3-2020T00:00,315.26,11.99
28-3-2020T00:00,401.48,12.73
29-3-2020T00:00,390.14,13.78
30-3-2020T00:00,308.67,12.83
31-3-2020T00:00,295.34,10.73
1-4-2020T00:00,308.83,11.77
2-4-2020T00:00,299.34,11.66
3-4-2020T00:00,330.02,12.15
4-4-2020T00:00,413.42,13.49
5-4-2020T00:00,394.96,13.24
6-4-2020T00:00,326.20,12.06
7-4-2020T00:00,314.92,10.18
8-4-2020T00:00,314.72,10.29
9-4-2020T00:00,285.25,10.54
10-4-2020T00:00,357.59,12.83
11-4-2020T00:00,390.23,15.14
