Time,Players,LFMs
20-2-2020T0:00,171.00,9.00
20-2-2020T1:00,167.67,8.33
20-2-2020T2:00,154.92,6.33
20-2-2020T3:00,147.83,9.17
20-2-2020T4:00,133.67,9.17
20-2-2020T5:00,133.92,7.17
20-2-2020T6:00,145.75,9.92
20-2-2020T7:00,162.25,8.58
20-2-2020T8:00,164.67,7.17
20-2-2020T9:00,172.08,8.17
20-2-2020T10:00,183.42,8.00
20-2-2020T11:00,177.17,8.83
20-2-2020T12:00,164.58,8.25
20-2-2020T13:00,148.83,7.08
20-2-2020T14:00,157.08,5.33
20-2-2020T15:00,174.83,6.67
20-2-2020T16:00,195.08,4.50
20-2-2020T17:00,200.67,6.33
20-2-2020T18:00,212.08,6.67
20-2-2020T19:00,232.75,10.17
20-2-2020T20:00,292.50,11.67
20-2-2020T21:00,330.58,9.25
20-2-2020T22:00,313.25,9.17
20-2-2020T23:00,267.58,7.75
21-2-2020T0:00,228.75,7.67
21-2-2020T1:00,180.42,6.75
21-2-2020T2:00,157.50,5.42
21-2-2020T3:00,149.08,8.08
21-2-2020T4:00,138.42,8.67
21-2-2020T5:00,139.50,6.67
21-2-2020T6:00,167.67,8.67
21-2-2020T7:00,185.58,8.75
21-2-2020T8:00,184.08,7.17
21-2-2020T9:00,192.92,6.17
21-2-2020T10:00,201.58,8.25
21-2-2020T11:00,183.83,7.33
21-2-2020T12:00,181.33,6.58
21-2-2020T13:00,173.92,8.92
21-2-2020T14:00,178.42,8.42
21-2-2020T15:00,198.50,9.17
21-2-2020T16:00,239.67,9.17
21-2-2020T17:00,243.42,9.17
21-2-2020T18:00,257.42,9.83
21-2-2020T19:00,284.67,7.42
21-2-2020T20:00,311.92,10.67
21-2-2020T21:00,341.17,13.50
21-2-2020T22:00,356.00,12.25
21-2-2020T23:00,306.33,14.17
22-2-2020T0:00,277.00,8.42
22-2-2020T1:00,238.17,10.75
22-2-2020T2:00,192.25,12.00
22-2-2020T3:00,171.08,15.08
22-2-2020T4:00,164.00,11.58
22-2-2020T5:00,158.83,9.25
22-2-2020T6:00,197.92,9.00
22-2-2020T7:00,210.92,13.83
22-2-2020T8:00,241.50,13.33
22-2-2020T9:00,262.42,11.00
22-2-2020T10:00,267.25,9.42
22-2-2020T11:00,250.17,14.00
22-2-2020T12:00,245.00,11.50
22-2-2020T13:00,259.17,12.50
22-2-2020T14:00,285.92,10.17
22-2-2020T15:00,311.50,8.42
22-2-2020T16:00,297.33,11.25
22-2-2020T17:00,272.08,10.58
22-2-2020T18:00,280.42,9.00
22-2-2020T19:00,315.08,11.58
22-2-2020T20:00,341.92,11.33
22-2-2020T21:00,331.33,10.25
22-2-2020T22:00,314.67,7.67
22-2-2020T23:00,292.17,10.00
23-2-2020T0:00,264.67,9.33
23-2-2020T1:00,234.50,6.58
23-2-2020T2:00,204.75,7.00
23-2-2020T3:00,179.17,6.50
23-2-2020T4:00,170.58,8.25
23-2-2020T5:00,158.58,8.17
23-2-2020T6:00,174.42,9.50
23-2-2020T7:00,194.50,8.17
23-2-2020T8:00,228.42,8.50
23-2-2020T9:00,253.25,12.25
23-2-2020T10:00,264.25,13.00
23-2-2020T11:00,262.33,9.58
23-2-2020T12:00,262.50,11.83
23-2-2020T13:00,267.58,8.08
23-2-2020T14:00,269.50,11.33
23-2-2020T15:00,273.50,9.83
23-2-2020T16:00,294.58,9.25
23-2-2020T17:00,303.25,10.50
23-2-2020T18:00,281.83,7.75
23-2-2020T19:00,290.92,9.67
23-2-2020T20:00,335.25,12.92
23-2-2020T21:00,356.17,10.42
23-2-2020T22:00,305.17,11.33
23-2-2020T23:00,255.08,9.33
24-2-2020T0:00,207.50,7.50
24-2-2020T1:00,165.33,10.92
24-2-2020T2:00,146.25,7.58
24-2-2020T3:00,138.58,7.67
24-2-2020T4:00,126.25,5.50
24-2-2020T5:00,133.92,5.25
24-2-2020T6:00,152.92,8.17
24-2-2020T7:00,163.58,8.83
24-2-2020T8:00,168.75,9.25
24-2-2020T9:00,181.83,7.67
24-2-2020T10:00,183.50,10.17
24-2-2020T11:00,178.17,9.08
24-2-2020T12:00,185.67,9.00
24-2-2020T13:00,170.33,12.33
24-2-2020T14:00,168.42,11.75
24-2-2020T15:00,190.67,11.92
24-2-2020T16:00,206.75,8.75
24-2-2020T17:00,216.42,9.00
24-2-2020T18:00,228.17,8.00
24-2-2020T19:00,263.83,10.42
