Time,Players,LFMs
05-06-2021T01:00,157.64,7.91
05-06-2021T02:00,157.08,7.33
05-06-2021T03:00,132.08,6.5
05-06-2021T04:00,125.33,6.33
05-06-2021T05:00,140.92,11.83
05-06-2021T06:00,169.25,9.92
05-06-2021T07:00,208.92,9.42
05-06-2021T08:00,251.33,12.08
05-06-2021T09:00,273.92,9.08
05-06-2021T10:00,276.33,10.08
05-06-2021T11:00,269.42,7.75
05-06-2021T12:00,261.83,10
05-06-2021T13:00,253.33,5.67
05-06-2021T14:00,284.5,9.75
05-06-2021T15:00,304.67,10.75
05-06-2021T16:00,292.83,8.25
05-06-2021T17:00,267.25,6.42
05-06-2021T18:00,272.17,9.42
05-06-2021T19:00,299.08,8.25
05-06-2021T20:00,304.25,8.42
05-06-2021T21:00,309.64,9.91
05-06-2021T22:00,287.25,11.92
05-06-2021T23:00,231.67,11.17
06-06-2021T00:00,196,12
06-06-2021T01:00,179.67,8.17
06-06-2021T02:00,154.42,8.5
06-06-2021T03:00,119.33,6.92
06-06-2021T04:00,125.58,7.58
06-06-2021T05:00,138.33,6.25
06-06-2021T06:00,182.33,7.75
06-06-2021T07:00,211.92,7.83
06-06-2021T08:00,253.75,9.33
06-06-2021T09:00,285.83,11.92
06-06-2021T10:00,305,11.17
06-06-2021T11:00,297.33,9.78
06-06-2021T12:00,312.67,7.83
06-06-2021T13:00,329.92,9.67
06-06-2021T14:00,310.5,10.67
06-06-2021T15:00,286.5,9.92
06-06-2021T16:00,271.67,6.42
06-06-2021T17:00,253.25,6.75
06-06-2021T18:00,269.25,9.42
06-06-2021T19:00,329.92,6.25
06-06-2021T20:00,330.08,10
06-06-2021T21:00,285.67,9.33
06-06-2021T22:00,235.33,10.17
06-06-2021T23:00,180.58,9.25
07-06-2021T00:00,138.92,8.75
07-06-2021T01:00,125.5,4.58
07-06-2021T02:00,119.58,4.17
07-06-2021T03:00,106.17,5.58
07-06-2021T04:00,96.92,4.83
07-06-2021T05:00,98.83,6.75
07-06-2021T06:00,132.92,8.42
07-06-2021T07:00,160.58,11.67
07-06-2021T08:00,174.08,11.92
07-06-2021T09:00,189.75,7.92
07-06-2021T10:00,195.42,5.83
07-06-2021T11:00,179.67,6.92
07-06-2021T12:00,167.67,5.83
07-06-2021T13:00,189.25,6.83
07-06-2021T14:00,225.58,5.75
07-06-2021T15:00,221.5,4.42
07-06-2021T16:00,211.67,3.42
07-06-2021T17:00,227.5,5.25
07-06-2021T18:00,261.83,9.08
07-06-2021T19:00,292.08,5.5
07-06-2021T20:00,292.67,6.42
07-06-2021T21:00,285.42,7.75
07-06-2021T22:00,237.67,6
07-06-2021T23:00,195.67,7.42
08-06-2021T00:00,158,7.58
08-06-2021T01:00,129.42,5
08-06-2021T02:00,100.42,4.5
08-06-2021T03:00,103.33,3.67
08-06-2021T04:00,107.25,4.58
08-06-2021T05:00,108.08,5.25
08-06-2021T06:00,128,8.92
08-06-2021T07:00,158.08,8.92
08-06-2021T08:00,187.42,9.33
08-06-2021T09:00,202.5,7.42
08-06-2021T10:00,189.58,7.58
08-06-2021T11:00,171.08,7.33
08-06-2021T12:00,181.5,7
08-06-2021T13:00,188.83,7.42
08-06-2021T14:00,204.17,8.83
08-06-2021T15:00,214.58,7.83
08-06-2021T16:00,219.58,10.08
08-06-2021T17:00,227,8.33
08-06-2021T18:00,253.5,6
08-06-2021T19:00,295.25,7
08-06-2021T20:00,326,7.75
08-06-2021T21:00,287.25,8.33
08-06-2021T22:00,242.67,7.42
08-06-2021T23:00,205.33,6.75
09-06-2021T00:00,158.5,6.08
09-06-2021T01:00,132.17,5.75
09-06-2021T02:00,108.25,5.17
09-06-2021T03:00,101.92,5.83
09-06-2021T04:00,92.67,4.58
09-06-2021T05:00,109.58,5.33
09-06-2021T06:00,124.67,5.08
09-06-2021T07:00,129.67,2.75
09-06-2021T08:00,45,2
09-06-2021T09:00,126,7
09-06-2021T10:00,181.67,7.5
09-06-2021T11:00,192,5.58
09-06-2021T12:00,181.17,6
09-06-2021T13:00,208,8.5
09-06-2021T14:00,218.92,8.33
09-06-2021T15:00,225.58,9.08
09-06-2021T16:00,209.17,9.5
09-06-2021T17:00,237.33,9.08
09-06-2021T18:00,242.08,10.5
09-06-2021T19:00,278.17,9.67
09-06-2021T20:00,300.42,9.5
09-06-2021T21:00,296.67,9.58
09-06-2021T22:00,242,11
09-06-2021T23:00,176.75,10
10-06-2021T00:00,140.5,10.42
10-06-2021T01:00,123,6.17
10-06-2021T10:00,102.83,6.5
10-06-2021T11:00,193.42,10.33
10-06-2021T12:00,191.42,9.25
10-06-2021T13:00,192.08,9.92
10-06-2021T14:00,197,9.58
10-06-2021T15:00,197.5,9.08
10-06-2021T16:00,200,8.67
10-06-2021T17:00,212.83,9.67
10-06-2021T18:00,218.58,7.67
10-06-2021T19:00,249.58,7.25
10-06-2021T20:00,258.75,11.5
10-06-2021T21:00,252.42,11.83
10-06-2021T22:00,229.17,10.75
10-06-2021T23:00,188.25,8.08
11-06-2021T00:00,169.67,8.42
11-06-2021T01:00,134.92,7.75
11-06-2021T02:00,104.42,6.42
11-06-2021T03:00,92.33,4.58
11-06-2021T04:00,110.75,5.25
11-06-2021T05:00,108.08,4.67
11-06-2021T06:00,127.33,5.92
11-06-2021T07:00,163.75,9.08
11-06-2021T08:00,198.17,8.42
11-06-2021T09:00,235.17,7.08
11-06-2021T10:00,231.33,6.5
11-06-2021T11:00,203.42,6.83
11-06-2021T12:00,223.42,8.33
11-06-2021T13:00,216.5,9.5
11-06-2021T14:00,237.33,9.33
11-06-2021T15:00,233.25,8.25
11-06-2021T16:00,220.08,6.08
11-06-2021T17:00,213.33,6.92
11-06-2021T18:00,231.17,12.17
11-06-2021T19:00,271.92,13.58
11-06-2021T20:00,302.75,11.25
11-06-2021T21:00,323.25,13.42
11-06-2021T22:00,301.58,14.17
11-06-2021T23:00,231.25,10.33
12-06-2021T00:00,193.67,7.58
