Time,Players,LFMs
23-02-2020T00:00,214.31,9.14
01-03-2020T00:00,207.03,9.45
08-03-2020T00:00,215.38,8.63
15-03-2020T00:00,263.76,10.71
22-03-2020T00:00,318.95,12.59
29-03-2020T00:00,331.04,12.11
05-04-2020T00:00,338.71,12.17
12-04-2020T00:00,327.9,12.02
19-04-2020T00:00,323.49,11.27
26-04-2020T00:00,324.03,11.13
03-05-2020T00:00,305.65,10.97
10-05-2020T00:00,312.61,10.65
17-05-2020T00:00,313.93,11.17
24-05-2020T00:00,308.43,10.01
31-05-2020T00:00,301.03,10.57
07-06-2020T00:00,292.66,10.04
14-06-2020T00:00,285.79,10.05
21-06-2020T00:00,253.55,8.76
28-06-2020T00:00,237.98,8.67
05-07-2020T00:00,239.39,8.37
12-07-2020T00:00,213.67,7.35
19-07-2020T00:00,229.85,7.76
26-07-2020T00:00,245.07,7.76
02-08-2020T00:00,219.63,6.9
09-08-2020T00:00,247.62,8.1
16-08-2020T00:00,240.98,7.83
23-08-2020T00:00,249.93,8.42
30-08-2020T00:00,245.15,7.82
06-09-2020T00:00,247.95,8.27
13-09-2020T00:00,248.5,8.28
20-09-2020T00:00,246.42,8.55
27-09-2020T00:00,237.16,7.62
04-10-2020T00:00,243.46,7.3
11-10-2020T00:00,264.7,7.09
18-10-2020T00:00,257.37,7.71
25-10-2020T00:00,259.05,8.44
01-11-2020T00:00,261.92,7.88
08-11-2020T00:00,268.92,8.39
15-11-2020T00:00,260.94,8.31
22-11-2020T00:00,278.73,9.64
29-11-2020T00:00,263.45,9.46
06-12-2020T00:00,260.98,9.01
13-12-2020T00:00,263.14,8.77
20-12-2020T00:00,273.58,9.02
27-12-2020T00:00,302.57,9.58
03-01-2021T00:00,261.9,8.5
10-01-2021T00:00,262.42,7.65
17-01-2021T00:00,263.4,8.72
24-01-2021T00:00,262.78,8.07
31-01-2021T00:00,248.05,7.89
07-02-2021T00:00,246.58,8.49
14-02-2021T00:00,250.2,8.27
21-02-2021T00:00,272.49,8.43
28-02-2021T00:00,274.73,9.36
07-03-2021T00:00,265.41,8.89
14-03-2021T00:00,266.88,8.98
21-03-2021T00:00,252.28,8.3
28-03-2021T00:00,209.99,8.14
04-04-2021T00:00,190.12,7.07
11-04-2021T00:00,196.69,7.1
18-04-2021T00:00,189.57,6.43
25-04-2021T00:00,204.13,7.12
02-05-2021T00:00,216.95,7.84
09-05-2021T00:00,208.58,8.08
16-05-2021T00:00,202.32,7.92
23-05-2021T00:00,200.47,7.99
