Time,Players,LFMs
11-06-2021T02:00,108,6
11-06-2021T02:05,106,8
11-06-2021T02:10,109,8
11-06-2021T02:15,107,9
11-06-2021T02:20,108,7
11-06-2021T02:25,109,5
11-06-2021T02:30,100,6
11-06-2021T02:35,103,5
11-06-2021T02:40,101,4
11-06-2021T02:45,104,5
11-06-2021T02:50,100,7
11-06-2021T02:55,98,7
11-06-2021T03:00,102,5
11-06-2021T03:05,97,6
11-06-2021T03:10,96,5
11-06-2021T03:15,95,2
11-06-2021T03:20,91,6
11-06-2021T03:25,84,6
11-06-2021T03:30,85,6
11-06-2021T03:35,83,5
11-06-2021T03:40,89,3
11-06-2021T03:45,93,2
11-06-2021T03:50,93,4
11-06-2021T03:55,100,5
11-06-2021T04:00,103,5
11-06-2021T04:05,103,5
11-06-2021T04:10,107,4
11-06-2021T04:15,112,4
11-06-2021T04:20,110,5
11-06-2021T04:25,112,9
11-06-2021T04:30,113,6
11-06-2021T04:35,111,8
11-06-2021T04:40,117,6
11-06-2021T04:45,115,3
11-06-2021T04:50,116,4
11-06-2021T04:55,110,4
11-06-2021T05:00,108,3
11-06-2021T05:05,105,4
11-06-2021T05:10,108,5
11-06-2021T05:15,112,5
11-06-2021T05:20,106,5
11-06-2021T05:25,105,4
11-06-2021T05:30,104,4
11-06-2021T05:35,106,3
11-06-2021T05:40,106,4
11-06-2021T05:45,106,5
11-06-2021T05:50,111,7
11-06-2021T05:55,120,7
11-06-2021T06:00,122,8
11-06-2021T06:05,123,12
11-06-2021T06:10,123,8
11-06-2021T06:15,116,6
11-06-2021T06:20,120,6
11-06-2021T06:25,125,6
11-06-2021T06:30,131,4
11-06-2021T06:35,132,4
11-06-2021T06:40,127,5
11-06-2021T06:45,132,3
11-06-2021T06:50,138,4
11-06-2021T06:55,139,5
11-06-2021T07:00,141,4
11-06-2021T07:05,145,7
11-06-2021T07:10,153,10
11-06-2021T07:15,166,9
11-06-2021T07:20,169,11
11-06-2021T07:25,171,10
11-06-2021T07:30,171,10
11-06-2021T07:35,169,9
11-06-2021T07:40,164,9
11-06-2021T07:45,169,11
11-06-2021T07:50,171,9
11-06-2021T07:55,176,10
11-06-2021T08:00,176,8
11-06-2021T08:05,174,8
11-06-2021T08:10,178,8
11-06-2021T08:15,182,9
11-06-2021T08:20,193,10
11-06-2021T08:25,200,10
11-06-2021T08:30,207,10
11-06-2021T08:35,209,7
11-06-2021T08:40,201,7
11-06-2021T08:45,212,10
11-06-2021T08:50,220,7
11-06-2021T08:55,226,7
11-06-2021T09:00,230,7
11-06-2021T09:05,240,7
11-06-2021T09:10,247,7
11-06-2021T09:15,246,6
11-06-2021T09:20,239,10
11-06-2021T09:25,234,8
11-06-2021T09:30,228,11
11-06-2021T09:35,230,7
11-06-2021T09:40,230,9
11-06-2021T09:45,235,5
11-06-2021T09:50,231,3
11-06-2021T09:55,232,5
11-06-2021T10:00,238,7
11-06-2021T10:05,243,7
11-06-2021T10:10,240,10
11-06-2021T10:15,238,8
11-06-2021T10:20,240,5
11-06-2021T10:25,230,5
11-06-2021T10:30,228,7
11-06-2021T10:35,222,6
11-06-2021T10:40,231,4
11-06-2021T10:45,219,6
11-06-2021T10:50,225,5
11-06-2021T10:55,222,8
11-06-2021T11:00,216,7
11-06-2021T11:05,208,6
11-06-2021T11:10,206,5
11-06-2021T11:15,198,5
11-06-2021T11:20,196,4
11-06-2021T11:25,200,4
11-06-2021T11:30,196,7
11-06-2021T11:35,197,9
11-06-2021T11:40,200,9
11-06-2021T11:45,208,8
11-06-2021T11:50,207,9
11-06-2021T11:55,209,9
11-06-2021T12:00,211,9
11-06-2021T12:05,216,8
11-06-2021T12:10,217,10
11-06-2021T12:15,227,9
11-06-2021T12:20,226,11
11-06-2021T12:25,224,11
11-06-2021T12:30,226,9
11-06-2021T12:35,231,8
11-06-2021T12:40,231,7
11-06-2021T12:45,223,7
11-06-2021T12:50,226,6
11-06-2021T12:55,223,5
11-06-2021T13:00,224,8
11-06-2021T13:05,222,12
11-06-2021T13:10,219,12
11-06-2021T13:15,220,11
11-06-2021T13:20,218,10
11-06-2021T13:25,216,9
11-06-2021T13:30,211,9
11-06-2021T13:35,214,9
11-06-2021T13:40,215,9
11-06-2021T13:45,215,8
11-06-2021T13:50,209,8
11-06-2021T13:55,215,9
11-06-2021T14:00,215,10
11-06-2021T14:05,223,10
11-06-2021T14:10,227,10
11-06-2021T14:15,226,12
11-06-2021T14:20,239,10
11-06-2021T14:25,239,11
11-06-2021T14:30,241,8
11-06-2021T14:35,241,10
11-06-2021T14:40,245,7
11-06-2021T14:45,246,6
11-06-2021T14:50,255,8
11-06-2021T14:55,251,10
11-06-2021T15:00,247,10
11-06-2021T15:05,243,10
11-06-2021T15:10,248,9
11-06-2021T15:15,243,7
11-06-2021T15:20,239,7
11-06-2021T15:25,239,8
11-06-2021T15:30,229,9
11-06-2021T15:35,224,9
11-06-2021T15:40,224,10
11-06-2021T15:45,226,9
