Time,Players,LFMs
14-03-2021T00:00,315.43,10.32
15-03-2021T00:00,249.16,9.51
16-03-2021T00:00,250.34,8.58
17-03-2021T00:00,245.86,9.54
18-03-2021T00:00,240.89,8.82
19-03-2021T00:00,249.39,8.16
20-03-2021T00:00,314.25,8.76
21-03-2021T00:00,319.14,9.65
22-03-2021T00:00,255.57,8.58
23-03-2021T00:00,244.19,7.98
24-03-2021T00:00,221.23,8.25
25-03-2021T00:00,230.51,7.58
26-03-2021T00:00,244.67,7.6
27-03-2021T00:00,288.38,9.12
28-03-2021T00:00,293.94,9.47
29-03-2021T00:00,242.4,10.17
30-03-2021T00:00,245.33,8.95
31-03-2021T00:00,219.31,8.29
01-04-2021T00:00,176.61,6.55
02-04-2021T00:00,204.44,7.73
03-04-2021T00:00,206.81,8.26
04-04-2021T00:00,212.78,8.43
05-04-2021T00:00,172.59,7.03
06-04-2021T00:00,173.67,7.31
07-04-2021T00:00,177.46,6.77
08-04-2021T00:00,168.18,5.86
09-04-2021T00:00,182.5,6.65
10-04-2021T00:00,227.09,8.05
11-04-2021T00:00,248.31,8.47
12-04-2021T00:00,185.39,6.7
13-04-2021T00:00,190.07,7.61
14-04-2021T00:00,180.64,6.34
15-04-2021T00:00,182.68,5.94
16-04-2021T00:00,196.07,6.92
17-04-2021T00:00,223.66,8.47
18-04-2021T00:00,238.37,8.4
19-04-2021T00:00,172.96,6.86
20-04-2021T00:00,179.59,6.3
21-04-2021T00:00,186.07,6.57
22-04-2021T00:00,252.71,8.82
23-04-2021T00:00,227.67,7.31
24-04-2021T00:00,254.71,7.84
25-04-2021T00:00,259.83,8.51
26-04-2021T00:00,194.51,7.43
27-04-2021T00:00,200.24,6.1
28-04-2021T00:00,190.29,7.02
29-04-2021T00:00,187.8,6.98
30-04-2021T00:00,196.76,6.61
01-05-2021T00:00,224.92,7.58
02-05-2021T00:00,249.31,8.69
03-05-2021T00:00,212.74,7.72
04-05-2021T00:00,212.52,8.05
05-05-2021T00:00,201.35,8.4
06-05-2021T00:00,198.32,7.21
07-05-2021T00:00,204.59,7.3
08-05-2021T00:00,243.28,7.9
09-05-2021T00:00,258.52,8.83
10-05-2021T00:00,200.66,7.86
11-05-2021T00:00,197.61,6.9
12-05-2021T00:00,198.72,7.7
13-05-2021T00:00,193.68,9.03
14-05-2021T00:00,208.35,8.66
15-05-2021T00:00,241.04,9.19
16-05-2021T00:00,249.6,8.4
17-05-2021T00:00,180.19,6.98
18-05-2021T00:00,189.7,7.58
19-05-2021T00:00,183.73,7.54
20-05-2021T00:00,186.76,8.21
21-05-2021T00:00,200.43,7.15
22-05-2021T00:00,234.46,8.37
23-05-2021T00:00,250.34,9.99
24-05-2021T00:00,204.29,8.49
25-05-2021T00:00,193.4,7.88
26-05-2021T00:00,191.92,8.44
27-05-2021T00:00,186.21,7.34
28-05-2021T00:00,198.13,7.56
29-05-2021T00:00,237.32,8.47
30-05-2021T00:00,250.62,10.35
31-05-2021T00:00,243.5,8.69
01-06-2021T00:00,204.08,8.94
02-06-2021T00:00,194.34,6.8
03-06-2021T00:00,199.73,7.54
04-06-2021T00:00,191.64,7.2
05-06-2021T00:00,240.78,9.49
06-06-2021T00:00,245.7,9.05
07-06-2021T00:00,191.04,7.2
08-06-2021T00:00,188.99,7.03
09-06-2021T00:00,189.14,6.89
10-06-2021T00:00,207.21,9.27
11-06-2021T00:00,193.02,7.95
