Day,Month,Year,Hour,Minute,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
20,2,2020,0,45,2,9,9,6,12,9,5
20,2,2020,1,45,2,9,9,6,12,9,5
20,2,2020,1,50,4,8,9,6,8,8,6
20,2,2020,1,55,4,9,9,7,7,8,6
20,2,2020,2,0,6,7,11,5,8,6,5
20,2,2020,2,5,5,6,9,5,6,7,5
20,2,2020,2,10,6,6,9,6,6,9,6
20,2,2020,2,15,7,6,7,5,5,5,4
20,2,2020,2,20,7,6,9,4,6,6,4
20,2,2020,2,25,7,7,9,5,5,7,4
20,2,2020,2,30,5,8,8,5,6,8,3
20,2,2020,2,35,6,6,9,5,7,8,4
20,2,2020,2,40,4,6,7,3,11,6,3
20,2,2020,2,45,5,4,6,4,11,4,3
20,2,2020,2,50,5,4,5,3,9,6,2
20,2,2020,2,55,6,5,4,3,9,4,2
20,2,2020,3,0,6,5,6,3,8,4,3
20,2,2020,3,5,7,3,7,4,5,8,5
20,2,2020,3,10,6,3,4,3,6,7,4
20,2,2020,3,15,5,3,6,2,4,9,3
20,2,2020,3,20,4,2,6,3,4,12,3
20,2,2020,3,25,4,4,6,4,5,11,1
20,2,2020,3,30,3,6,6,3,5,8,0
20,2,2020,3,35,3,7,5,4,7,7,1
20,2,2020,3,40,3,6,4,4,9,11,1
20,2,2020,3,45,2,7,3,5,9,12,2
20,2,2020,3,50,2,7,4,5,9,10,3
20,2,2020,3,55,4,7,3,5,8,11,3
20,2,2020,4,0,4,8,3,3,7,11,3
20,2,2020,4,5,5,10,1,5,7,10,3
20,2,2020,4,10,3,10,2,5,8,10,5
20,2,2020,4,15,3,10,1,5,9,9,6
20,2,2020,4,20,2,7,0,4,10,9,6
20,2,2020,4,25,2,6,2,4,11,8,5
20,2,2020,4,30,1,6,2,4,11,8,8
20,2,2020,4,35,0,8,2,5,7,10,7
20,2,2020,4,40,0,9,3,5,10,9,8
20,2,2020,4,45,1,9,2,4,8,9,7
20,2,2020,4,50,1,7,4,3,7,9,6
20,2,2020,4,55,2,7,5,3,8,8,6
20,2,2020,5,0,2,9,5,3,7,7,7
20,2,2020,5,5,2,6,5,3,10,7,7
20,2,2020,5,10,3,7,5,5,11,9,7
20,2,2020,5,15,3,7,7,5,9,8,7
20,2,2020,5,20,2,8,8,5,7,6,7
20,2,2020,5,25,2,8,9,7,5,7,7
20,2,2020,5,30,3,7,8,6,6,7,7
20,2,2020,5,35,3,8,8,6,6,5,6
20,2,2020,5,40,4,9,9,5,4,6,5
20,2,2020,5,45,4,8,8,5,4,7,4
20,2,2020,5,50,3,9,8,6,8,7,3
20,2,2020,5,55,5,10,10,4,7,10,3
20,2,2020,6,0,5,8,10,5,6,10,3
