Class,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
Alchemist,0.01684,0.02471,0.02687,0.0274,0.0227,0.02932,0.02704,0.01782,0.02559
Artificer,0.0367,0.06209,0.06187,0.06497,0.0566,0.05689,0.05937,0.05526,0.10941
Barbarian,0.07521,0.06679,0.07489,0.06457,0.06986,0.07111,0.07308,0.07488,0.08306
Bard,0.04761,0.05761,0.07083,0.06053,0.06486,0.06688,0.06103,0.05001,0.08184
Cleric,0.09308,0.07854,0.07948,0.07648,0.07946,0.07957,0.0833,0.09174,0.07243
Druid,0.02821,0.03883,0.03583,0.04289,0.03818,0.03836,0.03657,0.03191,0.03561
Favored Soul,0.02161,0.03627,0.0417,0.04107,0.03715,0.03807,0.03539,0.02266,0.06246
Fighter,0.09987,0.08034,0.07105,0.07359,0.08264,0.06805,0.07864,0.09229,0.04694
Monk,0.02665,0.0404,0.04253,0.04713,0.03842,0.03938,0.03742,0.03219,0.02944
Paladin,0.1225,0.09086,0.0852,0.08692,0.08859,0.08417,0.09214,0.10086,0.08082
Ranger,0.1089,0.09481,0.0913,0.08887,0.10026,0.08978,0.09289,0.09947,0.07623
Rogue,0.10332,0.099,0.09845,0.10133,0.09979,0.10182,0.09519,0.11481,0.09378
Sorcerer,0.0662,0.06522,0.06541,0.06329,0.06168,0.06805,0.06167,0.06701,0.03994
Warlock,0.03765,0.06517,0.06571,0.07029,0.05914,0.07643,0.06199,0.04034,0.07996
Wizard,0.11564,0.09935,0.08889,0.09069,0.10066,0.09212,0.10429,0.10873,0.08247
