Class,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
Alchemist,0.02717,0.02523,0.02304,0.02335,0.02416,0.03369,0.02331,0.00907,0.03012
Artificer,0.0627,0.06581,0.06677,0.05026,0.04974,0.04947,0.0679,0.09297,0.03012
Barbarian,0.06513,0.05302,0.06258,0.0552,0.05874,0.05722,0.05371,0.04989,0.07229
Bard,0.05921,0.06252,0.07908,0.07361,0.08337,0.08021,0.08057,0.07256,0.07831
Cleric,0.06479,0.07093,0.06834,0.06756,0.06063,0.07246,0.06765,0.09524,0.0241
Druid,0.03309,0.03876,0.03587,0.0401,0.03458,0.03209,0.03522,0.04762,0.08434
Favored Soul,0.06966,0.06325,0.06625,0.06619,0.06632,0.05107,0.06055,0.03855,0.27711
Fighter,0.05886,0.05996,0.06075,0.0574,0.05448,0.05749,0.05346,0.05896,0.01205
Monk,0.05468,0.05558,0.0542,0.05685,0.0559,0.04679,0.06131,0.02494,0.00602
Paladin,0.08464,0.08665,0.08903,0.08322,0.09143,0.08449,0.08462,0.0839,0.10241
Ranger,0.07976,0.07495,0.07515,0.08239,0.07627,0.08075,0.06841,0.0839,0.05422
Rogue,0.08952,0.09616,0.10291,0.1008,0.09664,0.10241,0.09298,0.09524,0.01807
Sorcerer,0.06444,0.05411,0.05734,0.05658,0.0559,0.06551,0.05498,0.04308,0.05422
Warlock,0.09195,0.10713,0.07803,0.09805,0.08906,0.10481,0.09856,0.09977,0.07831
Wizard,0.09439,0.08592,0.08065,0.08844,0.10279,0.08155,0.09678,0.10431,0.07831
