Class,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
Alchemist,0.01591,0.01897,0.0172,0.01615,0.01668,0.01945,0.01717,0.0167,0.02101
Artificer,0.06104,0.07353,0.0648,0.06632,0.06182,0.06357,0.06521,0.08604,0.10513
Barbarian,0.07586,0.07172,0.0771,0.07795,0.07586,0.07779,0.07193,0.06501,0.10448
Bard,0.05901,0.06241,0.0662,0.06688,0.06026,0.0674,0.06462,0.05672,0.08715
Cleric,0.08353,0.0794,0.08026,0.0781,0.08378,0.07822,0.08041,0.0876,0.06989
Druid,0.03367,0.03802,0.03694,0.03572,0.03473,0.03725,0.03773,0.03329,0.03191
Favored Soul,0.03146,0.03567,0.03721,0.03493,0.03355,0.03171,0.03451,0.02944,0.05227
Fighter,0.11962,0.10958,0.12202,0.11439,0.12383,0.10872,0.10553,0.10298,0.08152
Monk,0.04016,0.04226,0.04534,0.04675,0.04137,0.04561,0.04652,0.03665,0.02505
Paladin,0.09401,0.08658,0.08617,0.08608,0.0843,0.08779,0.09463,0.08688,0.08657
Ranger,0.08434,0.08037,0.08131,0.08032,0.08067,0.08365,0.0775,0.08568,0.06152
Rogue,0.10032,0.09506,0.0924,0.09914,0.10154,0.09431,0.09633,0.10995,0.09964
Sorcerer,0.05473,0.05128,0.05387,0.04995,0.0499,0.05221,0.05431,0.05071,0.04094
Warlock,0.04958,0.06308,0.05698,0.06041,0.06088,0.06623,0.06216,0.05275,0.05747
Wizard,0.09677,0.09208,0.0822,0.08691,0.09084,0.08611,0.09145,0.09962,0.07545
