Class,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
Alchemist,0.01643,0.02137,0.0205,0.02018,0.01892,0.02289,0.02104,0.01722,0.0244
Artificer,0.04754,0.06873,0.0638,0.06584,0.05988,0.06124,0.06292,0.07172,0.10829
Barbarian,0.0755,0.06966,0.07635,0.07315,0.07363,0.07546,0.07238,0.0696,0.08862
Bard,0.05269,0.06039,0.06778,0.0646,0.06198,0.06722,0.06321,0.0536,0.08322
Cleric,0.08882,0.07904,0.07999,0.07752,0.08217,0.07869,0.08154,0.08952,0.07177
Druid,0.03064,0.03836,0.03656,0.03829,0.03601,0.03764,0.03727,0.03265,0.03465
Favored Soul,0.026,0.03592,0.03874,0.03713,0.03489,0.03393,0.03485,0.02629,0.05981
Fighter,0.10866,0.09732,0.10465,0.09976,0.10849,0.09453,0.09498,0.09801,0.05593
Monk,0.03267,0.04148,0.04438,0.04688,0.04027,0.04344,0.04295,0.03458,0.0283
Paladin,0.10981,0.08837,0.08584,0.08638,0.0859,0.08652,0.09365,0.09338,0.08232
Ranger,0.09796,0.08642,0.08471,0.08339,0.08797,0.08579,0.08354,0.0921,0.07241
Rogue,0.10198,0.09671,0.09446,0.09993,0.10089,0.09693,0.09588,0.11221,0.09531
Sorcerer,0.0611,0.05713,0.0578,0.05473,0.05429,0.05773,0.0572,0.05829,0.0402
Warlock,0.04297,0.06395,0.05996,0.06395,0.06023,0.06979,0.0621,0.04698,0.07412
Wizard,0.10723,0.09513,0.08448,0.08826,0.0945,0.0882,0.09649,0.10386,0.08065
