Level,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
1,0.1744,0.1114,0.083,0.0976,0.0999,0.083,0.1035,0.2004,0.1875
2,0.074,0.0509,0.0411,0.0458,0.0441,0.0397,0.0475,0.0875,0.1043
3,0.0746,0.0594,0.0599,0.0598,0.0619,0.0549,0.0595,0.0698,0.107
4,0.0547,0.0428,0.0389,0.042,0.0444,0.038,0.0442,0.0577,0.0808
5,0.0937,0.1022,0.1159,0.12,0.1138,0.115,0.107,0.0874,0.1147
6,0.0426,0.046,0.0427,0.047,0.0468,0.0469,0.0465,0.049,0.0584
7,0.0363,0.0344,0.0336,0.0369,0.0366,0.0354,0.0371,0.0363,0.0504
8,0.0274,0.0294,0.0277,0.0287,0.0285,0.0311,0.0287,0.0239,0.0306
9,0.0314,0.0403,0.0369,0.034,0.0362,0.0354,0.0379,0.0311,0.0329
10,0.0534,0.0594,0.0611,0.0657,0.0697,0.0677,0.0665,0.0556,0.0521
11,0.0291,0.0301,0.0332,0.0296,0.0333,0.0343,0.0327,0.0249,0.0304
12,0.03,0.0389,0.0446,0.0405,0.0393,0.0413,0.0385,0.0303,0.0207
13,0.0425,0.0532,0.0562,0.0524,0.0547,0.0541,0.0532,0.0369,0.0256
14,0.0415,0.0548,0.057,0.0507,0.0549,0.0559,0.0521,0.0367,0.0212
15,0.056,0.0732,0.0841,0.0771,0.0707,0.0815,0.0706,0.048,0.0271
16,0.0512,0.0626,0.07,0.0655,0.0594,0.0693,0.0618,0.0391,0.0226
17,0.0136,0.0159,0.019,0.0164,0.0177,0.0196,0.0171,0.0089,0.0073
18,0.0175,0.0221,0.0195,0.0206,0.0214,0.0228,0.0225,0.0211,0.0079
19,0.0302,0.0362,0.0355,0.0326,0.0328,0.0383,0.0352,0.0276,0.009
20,0.0217,0.0243,0.0245,0.023,0.0229,0.0233,0.0238,0.0224,0.0256
21,0.0813,0.0996,0.0901,0.0947,0.0936,0.0938,0.0945,0.103,0.0977
22,0.0283,0.0388,0.0397,0.0335,0.0352,0.0365,0.0372,0.0319,0.0183
23,0.0228,0.0267,0.0257,0.0234,0.0254,0.0232,0.0258,0.0231,0.0337
24,0.0578,0.0706,0.0714,0.0688,0.0707,0.0733,0.0724,0.0529,0.0297
25,0.0252,0.0283,0.0264,0.0268,0.0303,0.0274,0.0289,0.0246,0.0268
26,0.0069,0.0097,0.0091,0.0073,0.0077,0.0097,0.0089,0.0073,0.0033
27,0.0184,0.0232,0.0203,0.02,0.0213,0.0219,0.0229,0.0233,0.0166
28,0.0012,0.0018,0.0012,0.0011,0.0014,0.002,0.0015,0.0022,0.0008
29,0.0164,0.0212,0.0234,0.0188,0.0218,0.0227,0.0203,0.0105,0.0071
30,0.0159,0.0202,0.0211,0.0197,0.0186,0.02,0.0172,0.0162,0.0073
31,0.0674,0.0788,0.0812,0.0856,0.0915,0.0895,0.0824,0.0649,0.0562
32,0.1672,0.2029,0.2579,0.2467,0.2159,0.2414,0.2123,0.1361,0.1155
