Level,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
1,0.37802,0.13434,0.09017,0.10409,0.13162,0.08242,0.13796,0.26969,0.16543
2,0.11849,0.07592,0.05133,0.05979,0.07414,0.04668,0.06708,0.10749,0.14215
3,0.0785,0.06418,0.04373,0.04652,0.05366,0.04223,0.053,0.07281,0.19201
4,0.07419,0.08441,0.06782,0.07083,0.08042,0.07374,0.07565,0.07212,0.10796
5,0.0305,0.03744,0.02958,0.034,0.03945,0.03333,0.03469,0.03261,0.08503
6,0.02086,0.02942,0.02303,0.0268,0.0285,0.02662,0.02313,0.02238,0.06239
7,0.06445,0.10301,0.08844,0.0991,0.09312,0.09226,0.09278,0.09298,0.05054
8,0.01738,0.03226,0.02838,0.03104,0.03517,0.02888,0.0287,0.02211,0.03654
9,0.01434,0.02453,0.0219,0.02404,0.02564,0.0221,0.02393,0.01174,0.03797
10,0.01453,0.02535,0.02499,0.02902,0.02715,0.02713,0.02698,0.0123,0.02777
11,0.0101,0.01808,0.02123,0.0204,0.01993,0.01853,0.02136,0.00967,0.01415
12,0.01042,0.02035,0.02017,0.02262,0.01834,0.01998,0.02281,0.01257,0.0174
13,0.00845,0.01657,0.01603,0.01623,0.0208,0.01707,0.0159,0.00718,0.0091
14,0.00813,0.01343,0.01641,0.01905,0.01667,0.01692,0.01627,0.00691,0.00921
15,0.04291,0.07755,0.08912,0.07547,0.07462,0.08592,0.07201,0.07488,0.00639
16,0.00898,0.01889,0.02619,0.02383,0.02215,0.0256,0.02104,0.00774,0.00401
17,0.0073,0.01634,0.021,0.01851,0.01897,0.02013,0.01713,0.00622,0.00545
18,0.0083,0.01668,0.02491,0.0202,0.01683,0.02159,0.01815,0.0058,0.00421
19,0.00382,0.00651,0.00805,0.00613,0.00587,0.01014,0.00717,0.00373,0.00604
20,0.0112,0.02139,0.03169,0.02996,0.02477,0.03384,0.02816,0.02694,0.00756
21,0.00523,0.01192,0.01724,0.01488,0.01651,0.0167,0.01579,0.00414,0.00124
22,0.00479,0.00959,0.01317,0.01246,0.01111,0.0143,0.01023,0.00387,0.00074
23,0.00377,0.01029,0.01385,0.01118,0.01064,0.01254,0.01167,0.00276,0.00086
24,0.00397,0.00982,0.014,0.01205,0.0081,0.01378,0.01076,0.00428,0.00084
25,0.00375,0.00889,0.01114,0.01333,0.0104,0.0124,0.01108,0.02321,0.00051
26,0.00375,0.00791,0.01129,0.00963,0.00953,0.01182,0.00846,0.03122,0.00046
27,0.00295,0.00727,0.01084,0.007,0.00778,0.00963,0.00808,0.01147,0.00038
28,0.00256,0.00663,0.01106,0.01003,0.00778,0.01058,0.00867,0.00843,0.00053
29,0.00285,0.00814,0.01091,0.00936,0.01064,0.01138,0.00857,0.00428,0.00079
30,0.03554,0.0829,0.14233,0.12247,0.0797,0.14178,0.10279,0.02846,0.00236
