Level,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
1,0.21003,0.10236,0.08964,0.09481,0.1022,0.09349,0.09699,0.14888,0.58592
2,0.03128,0.02913,0.02207,0.02537,0.03001,0.0253,0.02637,0.03557,0.06224
3,0.03109,0.02996,0.02199,0.02631,0.02667,0.02273,0.02717,0.04025,0.07509
4,0.09674,0.09686,0.08306,0.08695,0.08708,0.08025,0.08729,0.09373,0.04996
5,0.03173,0.03487,0.02841,0.02989,0.0385,0.03093,0.03209,0.03593,0.04462
6,0.02455,0.03101,0.02401,0.02548,0.02954,0.02445,0.02551,0.02584,0.03415
7,0.13026,0.14139,0.12953,0.13524,0.13697,0.13738,0.12866,0.14095,0.02708
8,0.03046,0.03601,0.02989,0.03327,0.03835,0.03522,0.03389,0.02824,0.02217
9,0.02409,0.02879,0.02806,0.02902,0.02813,0.02769,0.02786,0.02487,0.02289
10,0.03097,0.03827,0.03698,0.04031,0.04844,0.03682,0.03942,0.03172,0.01625
11,0.02112,0.02526,0.02545,0.02559,0.02606,0.02491,0.02541,0.01502,0.00722
12,0.0204,0.02556,0.02705,0.02575,0.02657,0.02542,0.02738,0.01418,0.00982
13,0.01627,0.02287,0.02094,0.01995,0.02172,0.02081,0.02177,0.01106,0.00469
14,0.01364,0.01868,0.01786,0.01908,0.01828,0.01906,0.01803,0.01118,0.00505
15,0.11156,0.13325,0.14498,0.1317,0.13679,0.14148,0.12807,0.11476,0.00274
16,0.0214,0.02543,0.02884,0.02601,0.02653,0.02948,0.02423,0.01502,0.00209
17,0.0154,0.01633,0.02281,0.01905,0.0172,0.0198,0.01848,0.00901,0.00202
18,0.01288,0.01561,0.02055,0.01969,0.01758,0.01871,0.01983,0.00901,0.00274
19,0.00624,0.00604,0.00899,0.007,0.00716,0.00804,0.00678,0.00397,0.0031
20,0.0297,0.03433,0.04593,0.04396,0.03482,0.04448,0.04472,0.04542,0.01249
21,0.01094,0.0123,0.01374,0.01291,0.01324,0.01574,0.01509,0.00625,0.00166
22,0.00749,0.00986,0.01047,0.01065,0.00914,0.01062,0.0107,0.003,0.00058
23,0.00655,0.00839,0.00977,0.01065,0.00862,0.00918,0.00955,0.0024,0.00051
24,0.00667,0.00671,0.00895,0.0093,0.00631,0.00761,0.00938,0.00252,0.00051
25,0.00715,0.00667,0.01024,0.0099,0.00561,0.0091,0.01052,0.02079,0.00079
26,0.00436,0.00592,0.00666,0.00606,0.00443,0.00586,0.00644,0.05311,0.00036
27,0.00336,0.00394,0.00533,0.0055,0.00363,0.00453,0.00575,0.02007,0.00022
28,0.00446,0.00512,0.00841,0.00726,0.00457,0.00687,0.008,0.01274,0
29,0.00282,0.00415,0.00518,0.00459,0.00335,0.00406,0.00429,0.0036,0.00029
30,0.0364,0.04491,0.06422,0.05875,0.0425,0.05998,0.06033,0.02091,0.00274
