Level,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
1,0.3032,0.11577,0.08982,0.09814,0.11316,0.08963,0.11308,0.20508,0.27473
2,0.07964,0.04874,0.03204,0.03771,0.04645,0.03276,0.04236,0.06902,0.12138
3,0.05738,0.04431,0.0294,0.03356,0.03672,0.02953,0.03731,0.0554,0.16161
4,0.08423,0.09164,0.07786,0.08117,0.08459,0.07798,0.08272,0.08368,0.09288
5,0.03105,0.03595,0.02881,0.03136,0.03885,0.03177,0.03311,0.03438,0.07453
6,0.0225,0.03034,0.02368,0.02595,0.02915,0.0252,0.02457,0.02423,0.05505
7,0.09376,0.1253,0.11552,0.12228,0.12064,0.12165,0.11457,0.11864,0.04444
8,0.0232,0.03444,0.02937,0.03247,0.03717,0.03301,0.03185,0.02539,0.03281
9,0.01868,0.027,0.02596,0.02723,0.0272,0.02574,0.02632,0.01877,0.03405
10,0.02185,0.03285,0.03289,0.03626,0.04051,0.03344,0.03454,0.02269,0.02477
11,0.01501,0.02225,0.02401,0.02373,0.02377,0.02269,0.02382,0.01253,0.01235
12,0.01486,0.02337,0.02471,0.02463,0.02351,0.02353,0.02558,0.01343,0.01543
13,0.01193,0.02023,0.01927,0.01861,0.02138,0.01951,0.01947,0.00925,0.00796
14,0.01058,0.01648,0.01737,0.01907,0.01768,0.01831,0.01734,0.00919,0.00813
15,0.07349,0.1099,0.12594,0.11154,0.11363,0.1221,0.10605,0.09621,0.00544
16,0.01451,0.02269,0.02794,0.02523,0.0249,0.02813,0.02298,0.01163,0.00351
17,0.01091,0.01633,0.02219,0.01886,0.01786,0.01991,0.01795,0.00771,0.00456
18,0.01034,0.01606,0.02204,0.01987,0.0173,0.01971,0.01917,0.00752,0.00383
19,0.0049,0.00624,0.00867,0.00669,0.00668,0.00877,0.00694,0.00386,0.00527
20,0.01944,0.02891,0.04107,0.03894,0.03108,0.04077,0.03822,0.03683,0.00884
21,0.00778,0.01214,0.01493,0.01362,0.01446,0.01607,0.01537,0.00527,0.00135
22,0.00599,0.00975,0.01139,0.0113,0.00988,0.0119,0.01051,0.00341,0.00069
23,0.00501,0.00919,0.01116,0.01084,0.00937,0.01035,0.01038,0.00257,0.00077
24,0.00517,0.00802,0.01067,0.01028,0.00698,0.00977,0.00992,0.00334,0.00075
25,0.00526,0.0076,0.01054,0.01113,0.00739,0.01025,0.01074,0.02192,0.00058
26,0.00402,0.00675,0.00824,0.00734,0.00633,0.00794,0.00723,0.04293,0.00043
27,0.00313,0.00534,0.00721,0.00604,0.00517,0.00631,0.00666,0.01607,0.00034
28,0.0034,0.00575,0.00931,0.00826,0.00577,0.00816,0.00826,0.01073,0.00039
29,0.00283,0.00583,0.00713,0.0063,0.00606,0.00661,0.00597,0.00392,0.00066
30,0.03592,0.06083,0.09084,0.0816,0.05636,0.08851,0.077,0.02442,0.00246
