Time,Players,LFMs
20-2-2020T00:00,157.44,6.84
21-2-2020T00:00,173.84,9.19
22-2-2020T00:00,231.19,9.75
23-2-2020T00:00,249.11,9.82
24-2-2020T00:00,171.37,6.58
25-2-2020T00:00,161.46,7.59
26-2-2020T00:00,151.91,7.09
27-2-2020T00:00,158.17,7.01
28-2-2020T00:00,181.44,9.29
29-2-2020T00:00,242.79,8.85
1-3-2020T00:00,242.93,9.62
2-3-2020T00:00,175.23,8.72
3-3-2020T00:00,158.85,8.02
4-3-2020T00:00,147.26,7.59
5-3-2020T00:00,155.71,7.97
6-3-2020T00:00,171.28,7.58
7-3-2020T00:00,216.96,9.18
8-3-2020T00:00,229.33,10.27
9-3-2020T00:00,165.26,8.53
10-3-2020T00:00,159.35,5.32
11-3-2020T00:00,142.66,6.96
12-3-2020T00:00,162.62,8.16
13-3-2020T00:00,173.96,7.89
14-3-2020T00:00,238.87,9.35
15-3-2020T00:00,242.94,10.39
16-3-2020T00:00,185.44,11.36
17-3-2020T00:00,187.73,10.55
18-3-2020T00:00,182.53,9.13
19-3-2020T00:00,210.92,9.34
20-3-2020T00:00,259.51,10.45
21-3-2020T00:00,356.23,13.52
22-3-2020T00:00,339.52,13.01
23-3-2020T00:00,271.40,10.91
24-3-2020T00:00,278.76,12.44
25-3-2020T00:00,260.61,10.07
26-3-2020T00:00,281.99,10.36
27-3-2020T00:00,295.20,11.04
28-3-2020T00:00,378.14,13.03
29-3-2020T00:00,377.43,12.40
30-3-2020T00:00,287.24,10.35
31-3-2020T00:00,273.59,9.11
1-4-2020T00:00,285.48,10.28
2-4-2020T00:00,283.29,9.73
3-4-2020T00:00,313.74,9.72
4-4-2020T00:00,384.19,12.10
5-4-2020T00:00,379.23,12.14
6-4-2020T00:00,291.03,11.39
7-4-2020T00:00,290.38,10.82
8-4-2020T00:00,281.12,8.05
9-4-2020T00:00,291.50,9.97
10-4-2020T00:00,373.01,12.19
11-4-2020T00:00,432.49,13.99
