Time,Players,LFMs
20-2-2020T0:00,102.00,5.00
20-2-2020T1:00,102.67,5.67
20-2-2020T2:00,93.67,3.75
20-2-2020T3:00,81.42,2.42
20-2-2020T4:00,77.67,5.83
20-2-2020T5:00,82.83,5.83
20-2-2020T6:00,85.67,2.08
20-2-2020T7:00,102.75,3.08
20-2-2020T8:00,111.92,3.83
20-2-2020T9:00,125.92,5.92
20-2-2020T10:00,132.92,5.17
20-2-2020T11:00,148.58,5.67
20-2-2020T12:00,166.58,8.67
20-2-2020T13:00,180.92,7.67
20-2-2020T14:00,197.25,8.75
20-2-2020T15:00,222.00,10.67
20-2-2020T16:00,206.50,9.17
20-2-2020T17:00,203.42,8.25
20-2-2020T18:00,207.75,5.75
20-2-2020T19:00,205.58,8.50
20-2-2020T20:00,227.58,11.42
20-2-2020T21:00,261.50,11.42
20-2-2020T22:00,236.67,13.75
20-2-2020T23:00,214.83,5.83
21-2-2020T0:00,177.42,5.67
21-2-2020T1:00,139.75,6.00
21-2-2020T2:00,96.42,3.67
21-2-2020T3:00,67.08,2.92
21-2-2020T4:00,65.58,3.75
21-2-2020T5:00,86.50,4.75
21-2-2020T6:00,100.67,4.67
21-2-2020T7:00,112.75,7.75
21-2-2020T8:00,125.58,6.33
21-2-2020T9:00,137.83,8.08
21-2-2020T10:00,151.00,8.42
21-2-2020T11:00,166.42,10.92
21-2-2020T12:00,187.25,15.00
21-2-2020T13:00,191.50,12.00
21-2-2020T14:00,195.50,14.25
21-2-2020T15:00,211.42,13.00
21-2-2020T16:00,221.92,11.50
21-2-2020T17:00,210.92,16.92
21-2-2020T18:00,221.50,14.92
21-2-2020T19:00,230.92,11.83
21-2-2020T20:00,256.50,8.42
21-2-2020T21:00,288.08,8.42
21-2-2020T22:00,274.75,11.50
21-2-2020T23:00,255.00,9.83
22-2-2020T0:00,205.17,10.83
22-2-2020T1:00,171.08,5.00
22-2-2020T2:00,146.67,7.67
22-2-2020T3:00,126.50,5.42
22-2-2020T4:00,99.42,4.58
22-2-2020T5:00,101.08,4.33
22-2-2020T6:00,121.58,5.92
22-2-2020T7:00,153.00,8.17
22-2-2020T8:00,184.00,7.08
22-2-2020T9:00,231.50,8.33
22-2-2020T10:00,245.08,9.58
22-2-2020T11:00,231.83,9.58
22-2-2020T12:00,241.00,12.25
22-2-2020T13:00,259.83,10.75
22-2-2020T14:00,271.92,12.00
22-2-2020T15:00,307.17,12.83
22-2-2020T16:00,328.25,14.33
22-2-2020T17:00,312.17,11.50
22-2-2020T18:00,288.50,9.92
22-2-2020T19:00,303.25,13.08
22-2-2020T20:00,326.17,13.00
22-2-2020T21:00,324.50,14.50
22-2-2020T22:00,308.25,12.17
22-2-2020T23:00,260.58,11.08
23-2-2020T0:00,226.17,11.08
23-2-2020T1:00,198.75,9.58
23-2-2020T2:00,177.58,8.00
23-2-2020T3:00,142.25,11.42
23-2-2020T4:00,130.00,9.58
23-2-2020T5:00,132.75,7.58
23-2-2020T6:00,126.00,8.08
23-2-2020T7:00,150.92,7.50
23-2-2020T8:00,179.83,8.25
23-2-2020T9:00,212.17,10.25
23-2-2020T10:00,231.58,7.92
23-2-2020T11:00,267.33,8.50
23-2-2020T12:00,305.25,12.08
23-2-2020T13:00,328.33,9.08
23-2-2020T14:00,340.25,12.58
23-2-2020T15:00,367.42,12.58
23-2-2020T16:00,352.25,10.92
23-2-2020T17:00,319.67,12.42
23-2-2020T18:00,302.83,11.58
23-2-2020T19:00,293.33,9.00
23-2-2020T20:00,318.92,11.67
23-2-2020T21:00,338.17,11.92
23-2-2020T22:00,296.67,8.17
23-2-2020T23:00,240.25,5.83
24-2-2020T0:00,201.08,6.25
24-2-2020T1:00,147.33,6.92
24-2-2020T2:00,115.83,6.33
24-2-2020T3:00,98.75,6.33
24-2-2020T4:00,88.83,3.92
24-2-2020T5:00,90.25,3.75
24-2-2020T6:00,85.83,5.08
24-2-2020T7:00,100.42,5.92
24-2-2020T8:00,112.08,2.67
24-2-2020T9:00,127.08,3.67
24-2-2020T10:00,138.50,6.08
24-2-2020T11:00,155.50,4.75
24-2-2020T12:00,170.33,4.67
24-2-2020T13:00,187.92,5.92
24-2-2020T14:00,208.83,9.08
24-2-2020T15:00,197.08,6.25
24-2-2020T16:00,215.17,7.25
24-2-2020T17:00,221.58,10.17
24-2-2020T18:00,219.08,9.92
24-2-2020T19:00,228.08,8.25
24-2-2020T20:00,259.92,6.75
24-2-2020T21:00,274.08,10.42
24-2-2020T22:00,250.75,8.75
24-2-2020T23:00,218.50,8.75
25-2-2020T0:00,182.92,9.58
25-2-2020T1:00,130.50,4.67
25-2-2020T2:00,94.33,2.67
25-2-2020T3:00,79.17,3.67
25-2-2020T4:00,88.92,4.25
25-2-2020T5:00,85.00,4.42
25-2-2020T6:00,77.75,6.00
25-2-2020T7:00,97.50,6.75
25-2-2020T8:00,102.33,6.08
25-2-2020T9:00,122.92,6.50
25-2-2020T10:00,139.42,7.33
25-2-2020T11:00,153.17,7.83
25-2-2020T12:00,165.92,6.25
25-2-2020T13:00,201.83,12.17
25-2-2020T14:00,216.67,8.33
25-2-2020T15:00,201.92,10.83
25-2-2020T16:00,192.00,9.75
25-2-2020T17:00,171.58,9.58
25-2-2020T18:00,186.33,9.33
25-2-2020T19:00,217.25,8.75
25-2-2020T20:00,255.08,12.33
25-2-2020T21:00,268.25,8.92
25-2-2020T22:00,241.50,8.83
25-2-2020T23:00,202.83,7.42
26-2-2020T0:00,154.17,7.75
26-2-2020T1:00,111.33,6.25
26-2-2020T2:00,86.17,4.00
26-2-2020T3:00,64.33,5.17
26-2-2020T4:00,70.00,5.58
26-2-2020T5:00,75.50,5.00
26-2-2020T6:00,86.67,4.33
26-2-2020T7:00,99.92,5.92
26-2-2020T8:00,89.08,4.75
26-2-2020T9:00,1.54,0.00
26-2-2020T10:00,0.00,0.00
26-2-2020T11:00,0.00,0.00
26-2-2020T12:00,153.92,7.00
26-2-2020T13:00,179.17,6.92
26-2-2020T14:00,188.67,10.58
26-2-2020T15:00,211.92,12.50
26-2-2020T16:00,200.42,11.33
26-2-2020T17:00,212.67,14.67
26-2-2020T18:00,205.08,11.25
26-2-2020T19:00,213.92,6.58
26-2-2020T20:00,222.50,7.00
26-2-2020T21:00,250.58,7.75
26-2-2020T22:00,246.25,7.50
26-2-2020T23:00,218.33,4.17
27-2-2020T0:00,165.17,6.08
27-2-2020T1:00,119.67,4.42
27-2-2020T2:00,95.42,4.00
27-2-2020T3:00,78.92,0.67
27-2-2020T4:00,66.58,4.58
27-2-2020T5:00,71.42,2.25
27-2-2020T6:00,79.92,3.00
27-2-2020T7:00,91.00,4.00
27-2-2020T8:00,91.92,7.33
27-2-2020T9:00,104.92,3.25
27-2-2020T10:00,124.00,4.17
27-2-2020T11:00,146.92,8.17
27-2-2020T12:00,175.58,8.83
27-2-2020T13:00,189.67,8.50
27-2-2020T14:00,201.25,9.00
27-2-2020T15:00,202.83,7.42
27-2-2020T16:00,197.00,12.50
27-2-2020T17:00,203.00,13.08
27-2-2020T18:00,224.08,12.42
27-2-2020T19:00,227.33,12.58
