Time,Players,LFMs
05-06-2021T01:00,172.91,6.09
05-06-2021T02:00,153.33,4.83
05-06-2021T03:00,141.83,6.25
05-06-2021T04:00,149.75,7
05-06-2021T05:00,149.33,5.58
05-06-2021T06:00,166.67,5.67
05-06-2021T07:00,198.58,7.33
05-06-2021T08:00,226.83,8.83
05-06-2021T09:00,256.83,14.58
05-06-2021T10:00,257.08,12.25
05-06-2021T11:00,279.17,9.08
05-06-2021T12:00,322.75,9.67
05-06-2021T13:00,336.08,7
05-06-2021T14:00,332.17,8.17
05-06-2021T15:00,338.83,6.75
05-06-2021T16:00,331.17,8.75
05-06-2021T17:00,304.42,7.92
05-06-2021T18:00,305.5,10
05-06-2021T19:00,335.92,9.33
05-06-2021T20:00,377.58,10.33
05-06-2021T21:00,359.09,14.09
05-06-2021T22:00,315.67,17.58
05-06-2021T23:00,267.58,11.08
06-06-2021T00:00,218.58,7.75
06-06-2021T01:00,184.83,5.25
06-06-2021T02:00,170.33,7.08
06-06-2021T03:00,159.67,6.08
06-06-2021T04:00,147.58,5.25
06-06-2021T05:00,156.58,4.17
06-06-2021T06:00,163.83,6.17
06-06-2021T07:00,187.42,5.75
06-06-2021T08:00,219.08,7.33
06-06-2021T09:00,284.33,14.25
06-06-2021T10:00,302.17,9.17
06-06-2021T11:00,330.56,8.33
06-06-2021T12:00,340.75,12
06-06-2021T13:00,362.67,11.83
06-06-2021T14:00,365.17,8.08
06-06-2021T15:00,348.58,10.08
06-06-2021T16:00,360.58,14.33
06-06-2021T17:00,351.83,9.83
06-06-2021T18:00,346.25,10.58
06-06-2021T19:00,344.08,9
06-06-2021T20:00,330.83,10.83
06-06-2021T21:00,297.25,10.17
06-06-2021T22:00,249,9.42
06-06-2021T23:00,221.25,9
07-06-2021T00:00,176.58,6.5
07-06-2021T01:00,144.17,4.42
07-06-2021T02:00,124.17,4.08
07-06-2021T03:00,101,2.25
07-06-2021T04:00,108.08,4.75
07-06-2021T05:00,108.58,4.5
07-06-2021T06:00,121.5,3.25
07-06-2021T07:00,136,7
07-06-2021T08:00,160.92,7.33
07-06-2021T09:00,166.08,11.5
07-06-2021T10:00,192.67,5.92
07-06-2021T11:00,212.42,6.25
07-06-2021T12:00,208.92,7.42
07-06-2021T13:00,230.17,11.33
07-06-2021T14:00,271.42,12.42
07-06-2021T15:00,270,10.92
07-06-2021T16:00,249.17,8.42
07-06-2021T17:00,239.17,8.92
07-06-2021T18:00,273.83,10.75
07-06-2021T19:00,299.08,14.5
07-06-2021T20:00,324.5,14.17
07-06-2021T21:00,301,14.08
07-06-2021T22:00,255.17,5.83
07-06-2021T23:00,199.92,7.58
08-06-2021T00:00,175.75,6.58
08-06-2021T01:00,141.5,3.08
08-06-2021T02:00,110.42,1.75
08-06-2021T03:00,97.08,2.92
08-06-2021T04:00,113.42,2.33
08-06-2021T05:00,130.58,5.67
08-06-2021T06:00,140.33,5.08
08-06-2021T07:00,137.75,7
08-06-2021T08:00,150.17,8.75
08-06-2021T09:00,168.92,8
08-06-2021T10:00,176.67,11.58
08-06-2021T11:00,205.5,9.83
08-06-2021T12:00,215.42,7.67
08-06-2021T13:00,242.58,6.58
08-06-2021T14:00,256.67,8.17
08-06-2021T15:00,257.67,11.42
08-06-2021T16:00,252.83,9.83
08-06-2021T17:00,259.08,8.67
08-06-2021T18:00,271.83,10.83
08-06-2021T19:00,299.83,8.67
08-06-2021T20:00,290.08,8.42
08-06-2021T21:00,273.08,11
08-06-2021T22:00,240.92,9.33
08-06-2021T23:00,202.5,7.92
09-06-2021T00:00,195.83,9.33
09-06-2021T01:00,152.25,8.33
09-06-2021T02:00,127,5.67
09-06-2021T03:00,116.08,9.25
09-06-2021T04:00,112,7.67
09-06-2021T05:00,120,7.83
09-06-2021T06:00,122.25,6.08
09-06-2021T07:00,99,3.25
09-06-2021T08:00,28,0
09-06-2021T09:00,101.83,3.83
09-06-2021T10:00,156.33,8.5
09-06-2021T11:00,181.5,10.67
09-06-2021T12:00,202.42,10.5
09-06-2021T13:00,223.25,10.58
09-06-2021T14:00,236.17,10.08
09-06-2021T15:00,225.58,11.92
09-06-2021T16:00,250.08,12.08
09-06-2021T17:00,247,11.83
09-06-2021T18:00,271.92,10.92
09-06-2021T19:00,283.83,11.75
09-06-2021T20:00,317.67,12
09-06-2021T21:00,295.58,9.17
09-06-2021T22:00,229.42,6.83
09-06-2021T23:00,185.33,4.75
10-06-2021T00:00,150.67,5.5
10-06-2021T01:00,135.17,6.42
10-06-2021T10:00,125.17,9.17
10-06-2021T11:00,187.08,9.67
10-06-2021T12:00,201.42,12.67
10-06-2021T13:00,210.67,12.17
10-06-2021T14:00,233.67,8.75
10-06-2021T15:00,218.08,11.42
10-06-2021T16:00,232.33,8.17
10-06-2021T17:00,253.25,9.83
10-06-2021T18:00,260.83,12.08
10-06-2021T19:00,271.08,8.25
10-06-2021T20:00,298.83,10.08
10-06-2021T21:00,297.75,10.08
10-06-2021T22:00,243.75,9.67
10-06-2021T23:00,213.17,10.17
11-06-2021T00:00,176.67,7.92
11-06-2021T01:00,144.5,7.75
11-06-2021T02:00,121.5,5.92
11-06-2021T03:00,105.83,7.5
11-06-2021T04:00,108.33,5.67
11-06-2021T05:00,114.33,5
11-06-2021T06:00,120.58,6.08
11-06-2021T07:00,146.92,5.33
11-06-2021T08:00,174.67,6
11-06-2021T09:00,189.33,8.42
11-06-2021T10:00,196.08,6.5
11-06-2021T11:00,192,8.67
11-06-2021T12:00,205.58,10.58
11-06-2021T13:00,239.5,10.17
11-06-2021T14:00,254.83,8.08
11-06-2021T15:00,273,10.42
11-06-2021T16:00,282.83,10
11-06-2021T17:00,278.17,9.08
11-06-2021T18:00,285.25,9.25
11-06-2021T19:00,317.25,10.75
11-06-2021T20:00,342.5,13
11-06-2021T21:00,312.67,14.83
