Time,Players,LFMs
23-02-2020T00:00,186.28,7.97
01-03-2020T00:00,177.58,8.3
08-03-2020T00:00,182.65,8.04
15-03-2020T00:00,238.47,10.7
22-03-2020T00:00,303.9,11.47
29-03-2020T00:00,310.63,10.37
05-04-2020T00:00,340.53,11.48
12-04-2020T00:00,390.34,14.57
19-04-2020T00:00,396.85,14.3
26-04-2020T00:00,427.61,16.63
03-05-2020T00:00,428.99,16.03
10-05-2020T00:00,422.81,15.85
17-05-2020T00:00,432.83,15.76
24-05-2020T00:00,451.99,16.62
31-05-2020T00:00,468.25,17.02
07-06-2020T00:00,500.58,18.67
14-06-2020T00:00,485.21,18.52
21-06-2020T00:00,440.42,16.25
28-06-2020T00:00,430.32,15.59
05-07-2020T00:00,435.08,16.72
12-07-2020T00:00,370.72,14.39
19-07-2020T00:00,414.15,15.91
26-07-2020T00:00,414.31,16.44
02-08-2020T00:00,363.52,15.24
09-08-2020T00:00,324.9,13.56
16-08-2020T00:00,358.87,15.1
23-08-2020T00:00,389.91,16.81
30-08-2020T00:00,358.35,13.94
06-09-2020T00:00,355.79,13.16
13-09-2020T00:00,342.94,12.76
20-09-2020T00:00,304.6,10.82
27-09-2020T00:00,304.29,11.1
04-10-2020T00:00,312.06,10.37
11-10-2020T00:00,318.18,10.43
18-10-2020T00:00,320.29,10.68
25-10-2020T00:00,319.81,10.81
01-11-2020T00:00,320.46,10.19
08-11-2020T00:00,317.46,10.72
15-11-2020T00:00,308.66,10.97
22-11-2020T00:00,328.17,11.28
29-11-2020T00:00,303.34,10.8
06-12-2020T00:00,301.84,10.38
13-12-2020T00:00,304.57,11.62
20-12-2020T00:00,315.05,11.71
27-12-2020T00:00,354.87,11.02
03-01-2021T00:00,312.74,11.02
10-01-2021T00:00,316.93,9.12
17-01-2021T00:00,319.14,10.64
24-01-2021T00:00,307.86,11.16
31-01-2021T00:00,311.16,10.69
07-02-2021T00:00,305.81,10.6
14-02-2021T00:00,311.83,10.93
21-02-2021T00:00,325.01,11.7
28-02-2021T00:00,332.69,11.76
07-03-2021T00:00,327.48,10.98
14-03-2021T00:00,312.66,11.17
21-03-2021T00:00,294.33,9.95
28-03-2021T00:00,239.79,9.08
04-04-2021T00:00,215.15,8.17
11-04-2021T00:00,208.85,8.44
18-04-2021T00:00,203.66,7.64
25-04-2021T00:00,223.01,8.72
02-05-2021T00:00,216.33,8.97
09-05-2021T00:00,205.87,8.29
16-05-2021T00:00,211.92,9.01
23-05-2021T00:00,208.24,8.24
