Time,Players,LFMs
11-06-2021T02:00,126,5
11-06-2021T02:05,128,6
11-06-2021T02:10,128,4
11-06-2021T02:15,124,6
11-06-2021T02:20,131,4
11-06-2021T02:25,128,7
11-06-2021T02:30,128,8
11-06-2021T02:35,123,5
11-06-2021T02:40,114,6
11-06-2021T02:45,116,7
11-06-2021T02:50,107,6
11-06-2021T02:55,105,7
11-06-2021T03:00,107,6
11-06-2021T03:05,110,6
11-06-2021T03:10,104,5
11-06-2021T03:15,109,7
11-06-2021T03:20,108,7
11-06-2021T03:25,106,7
11-06-2021T03:30,106,7
11-06-2021T03:35,107,10
11-06-2021T03:40,106,10
11-06-2021T03:45,105,9
11-06-2021T03:50,101,7
11-06-2021T03:55,101,9
11-06-2021T04:00,99,9
11-06-2021T04:05,102,8
11-06-2021T04:10,100,9
11-06-2021T04:15,104,10
11-06-2021T04:20,107,6
11-06-2021T04:25,113,4
11-06-2021T04:30,111,3
11-06-2021T04:35,117,4
11-06-2021T04:40,113,3
11-06-2021T04:45,108,2
11-06-2021T04:50,111,5
11-06-2021T04:55,115,5
11-06-2021T05:00,120,4
11-06-2021T05:05,119,5
11-06-2021T05:10,120,5
11-06-2021T05:15,120,6
11-06-2021T05:20,116,6
11-06-2021T05:25,114,6
11-06-2021T05:30,113,5
11-06-2021T05:35,113,5
11-06-2021T05:40,113,5
11-06-2021T05:45,109,4
11-06-2021T05:50,106,4
11-06-2021T05:55,109,5
11-06-2021T06:00,109,4
11-06-2021T06:05,110,6
11-06-2021T06:10,110,4
11-06-2021T06:15,110,6
11-06-2021T06:20,113,4
11-06-2021T06:25,114,6
11-06-2021T06:30,121,7
11-06-2021T06:35,126,9
11-06-2021T06:40,132,9
11-06-2021T06:45,130,6
11-06-2021T06:50,133,8
11-06-2021T06:55,139,4
11-06-2021T07:00,143,5
11-06-2021T07:05,143,4
11-06-2021T07:10,143,4
11-06-2021T07:15,143,3
11-06-2021T07:20,141,4
11-06-2021T07:25,143,5
11-06-2021T07:30,143,6
11-06-2021T07:35,147,7
11-06-2021T07:40,152,7
11-06-2021T07:45,150,5
11-06-2021T07:50,151,7
11-06-2021T07:55,164,7
11-06-2021T08:00,164,6
11-06-2021T08:05,168,6
11-06-2021T08:10,175,6
11-06-2021T08:15,174,4
11-06-2021T08:20,180,4
11-06-2021T08:25,177,5
11-06-2021T08:30,176,6
11-06-2021T08:35,170,6
11-06-2021T08:40,173,5
11-06-2021T08:45,176,7
11-06-2021T08:50,171,7
11-06-2021T08:55,192,10
11-06-2021T09:00,190,10
11-06-2021T09:05,187,7
11-06-2021T09:10,184,6
11-06-2021T09:15,180,6
11-06-2021T09:20,189,8
11-06-2021T09:25,185,8
11-06-2021T09:30,190,11
11-06-2021T09:35,192,11
11-06-2021T09:40,193,10
11-06-2021T09:45,188,7
11-06-2021T09:50,195,10
11-06-2021T09:55,199,7
11-06-2021T10:00,205,8
11-06-2021T10:05,201,8
11-06-2021T10:10,198,7
11-06-2021T10:15,193,6
11-06-2021T10:20,194,5
11-06-2021T10:25,200,4
11-06-2021T10:30,197,4
11-06-2021T10:35,196,6
11-06-2021T10:40,202,9
11-06-2021T10:45,190,8
11-06-2021T10:50,190,7
11-06-2021T10:55,187,6
11-06-2021T11:00,189,6
11-06-2021T11:05,193,10
11-06-2021T11:10,196,7
11-06-2021T11:15,192,6
11-06-2021T11:20,190,9
11-06-2021T11:25,193,9
11-06-2021T11:30,195,6
11-06-2021T11:35,188,6
