Time,Players,LFMs
14-03-2021T00:00,405.55,12.56
15-03-2021T00:00,300.83,10.57
16-03-2021T00:00,281.87,10.81
17-03-2021T00:00,283.54,10.37
18-03-2021T00:00,271.52,10.72
19-03-2021T00:00,285.11,10.8
20-03-2021T00:00,368.56,12.14
21-03-2021T00:00,396.43,12.75
22-03-2021T00:00,283.8,10.69
23-03-2021T00:00,281.96,10.23
24-03-2021T00:00,258.1,9.16
25-03-2021T00:00,266.48,10.61
26-03-2021T00:00,268.07,9.49
27-03-2021T00:00,345.6,10.18
28-03-2021T00:00,369.82,9.83
29-03-2021T00:00,270.26,9.23
30-03-2021T00:00,257.29,10.11
31-03-2021T00:00,231.5,8.6
01-04-2021T00:00,198.91,8
02-04-2021T00:00,222.05,9.19
03-04-2021T00:00,259.86,9.88
04-04-2021T00:00,277.85,10.01
05-04-2021T00:00,218.54,9.17
06-04-2021T00:00,197.62,8.24
07-04-2021T00:00,188.05,7.35
08-04-2021T00:00,182.98,8.46
09-04-2021T00:00,202.02,7.3
10-04-2021T00:00,257.56,8.75
11-04-2021T00:00,279.79,8.87
12-04-2021T00:00,189.64,7.6
13-04-2021T00:00,180.5,7.44
14-04-2021T00:00,193.15,8.56
15-04-2021T00:00,184.38,8
16-04-2021T00:00,199.6,9.07
17-04-2021T00:00,265.46,8.92
18-04-2021T00:00,270.61,10.46
19-04-2021T00:00,202.69,8.38
20-04-2021T00:00,180.18,6.65
21-04-2021T00:00,192.52,6.89
22-04-2021T00:00,267.58,10.53
23-04-2021T00:00,216.85,9.07
24-04-2021T00:00,280.65,9.61
25-04-2021T00:00,303.5,10.73
26-04-2021T00:00,209.49,8.77
27-04-2021T00:00,197.35,8.67
28-04-2021T00:00,194.94,7.95
29-04-2021T00:00,203.1,7.93
30-04-2021T00:00,219.53,8.9
01-05-2021T00:00,265.37,9.03
02-05-2021T00:00,287.38,10.44
03-05-2021T00:00,220.36,9.52
04-05-2021T00:00,204.95,9.24
05-05-2021T00:00,197.87,8.97
06-05-2021T00:00,193.14,8.15
07-05-2021T00:00,199.05,8.67
08-05-2021T00:00,253.42,9.47
09-05-2021T00:00,258.35,9.34
10-05-2021T00:00,202.43,8.2
11-05-2021T00:00,188.82,6.73
12-05-2021T00:00,198.18,8.67
13-05-2021T00:00,187.98,8.51
14-05-2021T00:00,190.07,7.74
15-05-2021T00:00,247.16,9.27
16-05-2021T00:00,256,10.2
17-05-2021T00:00,204.58,9.06
18-05-2021T00:00,194.11,8.65
19-05-2021T00:00,196.38,9.16
20-05-2021T00:00,191.44,7.76
21-05-2021T00:00,202.94,8.81
22-05-2021T00:00,250.87,9.9
23-05-2021T00:00,253.16,10.25
24-05-2021T00:00,210.26,8.05
25-05-2021T00:00,198.21,8.52
26-05-2021T00:00,199.23,9.03
27-05-2021T00:00,189.44,8.25
28-05-2021T00:00,201.99,7.58
29-05-2021T00:00,259.91,9.83
30-05-2021T00:00,260.14,9.19
31-05-2021T00:00,252.55,9.02
01-06-2021T00:00,202.75,7.62
02-06-2021T00:00,194.4,7.74
03-06-2021T00:00,200.88,7.86
04-06-2021T00:00,206.95,8.39
05-06-2021T00:00,256.65,8.03
06-06-2021T00:00,276.51,9.4
07-06-2021T00:00,205.72,7.76
08-06-2021T00:00,203.49,8
09-06-2021T00:00,194.76,8.93
10-06-2021T00:00,223.07,9.4
11-06-2021T00:00,205.6,8.19
