Time,Players,LFMs
31-10-2020T18:00,470.08,17.50
31-10-2020T19:00,455.83,15.58
31-10-2020T20:00,450.50,18.00
31-10-2020T21:00,429.33,8.67
31-10-2020T22:00,383.42,9.33
31-10-2020T23:00,336.92,9.83
1-11-2020T0:00,290.33,9.00
1-11-2020T1:00,249.75,8.67
1-11-2020T2:00,227.08,8.83
1-11-2020T3:00,210.42,8.92
1-11-2020T4:00,0.00,0.00
1-11-2020T5:00,200.42,9.25
1-11-2020T6:00,222.92,12.00
1-11-2020T7:00,261.92,13.67
1-11-2020T8:00,301.75,14.50
1-11-2020T9:00,345.92,14.83
1-11-2020T10:00,392.08,13.58
1-11-2020T11:00,445.92,14.17
1-11-2020T12:00,475.18,17.55
1-11-2020T13:00,535.90,18.30
1-11-2020T14:00,564.08,17.00
1-11-2020T15:00,548.75,18.00
1-11-2020T16:00,527.08,15.42
1-11-2020T17:00,537.50,11.17
1-11-2020T18:00,514.17,14.33
1-11-2020T19:00,478.50,13.08
1-11-2020T20:00,477.08,14.25
1-11-2020T21:00,481.50,16.42
1-11-2020T22:00,430.83,12.67
1-11-2020T23:00,348.42,10.42
2-11-2020T0:00,270.17,7.67
2-11-2020T1:00,203.17,5.92
2-11-2020T2:00,183.67,6.67
2-11-2020T3:00,163.50,6.33
2-11-2020T4:00,159.25,6.42
2-11-2020T5:00,160.83,7.08
2-11-2020T6:00,170.42,7.83
2-11-2020T7:00,181.42,7.33
2-11-2020T8:00,204.92,9.08
2-11-2020T9:00,244.50,7.50
2-11-2020T10:00,254.67,7.83
2-11-2020T11:00,278.25,7.17
2-11-2020T12:00,312.17,6.83
2-11-2020T13:00,350.83,10.58
2-11-2020T14:00,371.83,11.67
2-11-2020T15:00,413.58,14.75
2-11-2020T16:00,422.83,12.75
2-11-2020T17:00,415.50,14.75
2-11-2020T18:00,405.17,14.33
2-11-2020T19:00,452.83,14.25
2-11-2020T20:00,483.42,10.33
2-11-2020T21:00,465.00,9.42
2-11-2020T22:00,433.92,10.50
2-11-2020T23:00,380.50,10.08
3-11-2020T0:00,303.75,8.67
3-11-2020T1:00,219.25,5.33
3-11-2020T2:00,184.42,8.08
3-11-2020T3:00,165.42,7.58
3-11-2020T4:00,159.58,5.25
3-11-2020T5:00,152.00,6.25
3-11-2020T6:00,164.58,4.25
3-11-2020T7:00,177.58,7.33
3-11-2020T8:00,207.33,10.83
3-11-2020T9:00,215.67,10.00
3-11-2020T10:00,253.17,10.67
3-11-2020T11:00,300.42,12.58
3-11-2020T12:00,308.67,13.67
3-11-2020T13:00,333.58,13.92
3-11-2020T14:00,364.75,13.17
3-11-2020T15:00,381.75,14.50
3-11-2020T16:00,407.58,16.08
3-11-2020T17:00,420.08,14.25
3-11-2020T18:00,411.75,13.33
3-11-2020T19:00,434.75,14.00
3-11-2020T20:00,480.58,9.58
3-11-2020T21:00,488.75,10.00
3-11-2020T22:00,410.33,9.67
3-11-2020T23:00,342.92,6.58
4-11-2020T0:00,275.83,6.92
4-11-2020T1:00,232.33,4.67
4-11-2020T2:00,184.17,3.42
4-11-2020T3:00,162.75,6.67
4-11-2020T4:00,145.92,4.58
4-11-2020T5:00,144.42,4.00
4-11-2020T6:00,149.67,5.83
4-11-2020T7:00,158.25,4.08
4-11-2020T8:00,157.42,6.50
4-11-2020T9:00,169.83,6.67
4-11-2020T10:00,201.33,7.25
4-11-2020T11:00,245.42,7.58
4-11-2020T12:00,265.58,11.42
4-11-2020T13:00,305.67,11.00
4-11-2020T14:00,344.00,10.30
4-11-2020T15:00,364.75,12.67
4-11-2020T16:00,372.33,13.42
4-11-2020T17:00,332.92,10.25
4-11-2020T18:00,374.83,12.17
4-11-2020T19:00,411.25,13.17
4-11-2020T20:00,450.58,10.67
4-11-2020T21:00,428.00,9.42
4-11-2020T22:00,399.08,10.58
4-11-2020T23:00,338.42,9.92
5-11-2020T0:00,266.58,7.08
5-11-2020T1:00,210.83,6.58
5-11-2020T2:00,171.67,6.67
5-11-2020T3:00,145.92,6.33
5-11-2020T4:00,122.75,3.50
5-11-2020T5:00,126.92,4.08
5-11-2020T6:00,140.58,3.42
