Time,PopDelta
21-03-2021T00:00,-0.01
22-03-2021T00:00,-0.03
23-03-2021T00:00,-0.02
24-03-2021T00:00,-0.06
25-03-2021T00:00,-0.05
26-03-2021T00:00,-0.05
27-03-2021T00:00,-0.05
28-03-2021T00:00,-0.06
29-03-2021T00:00,-0.05
30-03-2021T00:00,-0.06
31-03-2021T00:00,0.53
01-04-2021T00:00,0.23
02-04-2021T00:00,0.29
03-04-2021T00:00,0.14
04-04-2021T00:00,0.09
05-04-2021T00:00,0.22
06-04-2021T00:00,0.13
07-04-2021T00:00,-0.28
08-04-2021T00:00,-0.11
09-04-2021T00:00,-0.16
10-04-2021T00:00,-0.05
11-04-2021T00:00,-0
12-04-2021T00:00,-0.13
13-04-2021T00:00,-0.06
14-04-2021T00:00,-0.04
15-04-2021T00:00,-0.05
16-04-2021T00:00,-0.05
17-04-2021T00:00,-0.06
18-04-2021T00:00,-0.07
19-04-2021T00:00,-0.05
20-04-2021T00:00,-0.05
21-04-2021T00:00,-0.05
22-04-2021T00:00,0.35
23-04-2021T00:00,0.05
24-04-2021T00:00,0.02
25-04-2021T00:00,0.05
26-04-2021T00:00,0.04
27-04-2021T00:00,0.02
28-04-2021T00:00,-0.01
29-04-2021T00:00,-0.27
30-04-2021T00:00,-0.08
01-05-2021T00:00,-0.06
02-05-2021T00:00,-0.07
03-05-2021T00:00,0
04-05-2021T00:00,0
05-05-2021T00:00,-0.01
06-05-2021T00:00,-0.04
07-05-2021T00:00,-0.06
08-05-2021T00:00,-0.03
09-05-2021T00:00,-0.07
10-05-2021T00:00,-0.09
11-05-2021T00:00,-0.08
12-05-2021T00:00,-0.03
13-05-2021T00:00,-0.01
14-05-2021T00:00,-0.01
15-05-2021T00:00,-0.05
16-05-2021T00:00,-0.01
17-05-2021T00:00,-0.02
18-05-2021T00:00,-0.02
19-05-2021T00:00,-0.05
20-05-2021T00:00,-0.08
21-05-2021T00:00,-0.03
22-05-2021T00:00,-0.01
23-05-2021T00:00,-0.02
24-05-2021T00:00,0.02
25-05-2021T00:00,-0.03
26-05-2021T00:00,0.03
27-05-2021T00:00,-0.01
28-05-2021T00:00,0
29-05-2021T00:00,-0.03
30-05-2021T00:00,-0.04
31-05-2021T00:00,0.13
01-06-2021T00:00,-0.01
02-06-2021T00:00,-0.08
03-06-2021T00:00,-0.01
04-06-2021T00:00,-0.07
05-06-2021T00:00,-0.04
06-06-2021T00:00,-0.02
07-06-2021T00:00,-0.21
08-06-2021T00:00,-0.05
09-06-2021T00:00,-0.05
10-06-2021T00:00,0.1
11-06-2021T00:00,-0.02
