Time,LfmDelta
21-03-2021T00:00,-0.02
22-03-2021T00:00,-0
23-03-2021T00:00,-0.02
24-03-2021T00:00,-0.09
25-03-2021T00:00,-0.03
26-03-2021T00:00,-0.1
27-03-2021T00:00,-0.04
28-03-2021T00:00,-0.06
29-03-2021T00:00,-0
30-03-2021T00:00,-0.02
31-03-2021T00:00,0.13
01-04-2021T00:00,0.04
02-04-2021T00:00,0.21
03-04-2021T00:00,0.1
04-04-2021T00:00,0.11
05-04-2021T00:00,0.11
06-04-2021T00:00,0.07
07-04-2021T00:00,-0.09
08-04-2021T00:00,-0.02
09-04-2021T00:00,-0.1
10-04-2021T00:00,-0
11-04-2021T00:00,0.03
12-04-2021T00:00,-0.07
13-04-2021T00:00,0.01
14-04-2021T00:00,0.07
15-04-2021T00:00,0.03
16-04-2021T00:00,0.04
17-04-2021T00:00,0.02
18-04-2021T00:00,-0.01
19-04-2021T00:00,0.04
20-04-2021T00:00,0
21-04-2021T00:00,-0.08
22-04-2021T00:00,0.41
23-04-2021T00:00,0.07
24-04-2021T00:00,0.04
25-04-2021T00:00,0.08
26-04-2021T00:00,0.03
27-04-2021T00:00,0.04
28-04-2021T00:00,0.09
29-04-2021T00:00,-0.31
30-04-2021T00:00,-0.08
01-05-2021T00:00,-0.03
02-05-2021T00:00,-0.07
03-05-2021T00:00,-0
04-05-2021T00:00,-0.02
05-05-2021T00:00,0.03
06-05-2021T00:00,0.02
07-05-2021T00:00,-0.02
08-05-2021T00:00,-0.05
09-05-2021T00:00,-0.04
10-05-2021T00:00,-0.14
11-05-2021T00:00,-0.07
12-05-2021T00:00,-0.07
13-05-2021T00:00,0.06
14-05-2021T00:00,-0.04
15-05-2021T00:00,-0.03
16-05-2021T00:00,-0.01
17-05-2021T00:00,0.06
18-05-2021T00:00,0.05
19-05-2021T00:00,-0.03
20-05-2021T00:00,-0.07
21-05-2021T00:00,-0.02
22-05-2021T00:00,-0.03
23-05-2021T00:00,0.02
24-05-2021T00:00,0.02
25-05-2021T00:00,-0.07
26-05-2021T00:00,0.03
27-05-2021T00:00,-0.04
28-05-2021T00:00,0.02
29-05-2021T00:00,0.04
30-05-2021T00:00,-0.02
31-05-2021T00:00,0.08
01-06-2021T00:00,-0.06
02-06-2021T00:00,-0.07
03-06-2021T00:00,-0.01
04-06-2021T00:00,-0.07
05-06-2021T00:00,-0.1
06-06-2021T00:00,-0.08
07-06-2021T00:00,-0.21
08-06-2021T00:00,-0.01
09-06-2021T00:00,-0.04
10-06-2021T00:00,0.09
11-06-2021T00:00,0.02
