Time,Players,LFMs
05-06-2021T01:00,31.64,1.27
05-06-2021T02:00,30.25,0.25
05-06-2021T03:00,28.92,0.75
05-06-2021T04:00,26.67,1
05-06-2021T05:00,27.92,0.67
05-06-2021T06:00,27,0.5
05-06-2021T07:00,32.92,1.42
05-06-2021T08:00,34.92,0.5
05-06-2021T09:00,41.25,0.83
05-06-2021T10:00,49.67,1.08
05-06-2021T11:00,48.83,0.5
05-06-2021T12:00,56.5,0.67
05-06-2021T13:00,61.33,2.58
05-06-2021T14:00,77,3.08
05-06-2021T15:00,80.67,0.75
05-06-2021T16:00,79.58,1.75
05-06-2021T17:00,67.33,0.75
05-06-2021T18:00,56.83,0
05-06-2021T19:00,42.42,0
05-06-2021T20:00,37.92,0.67
05-06-2021T21:00,41.82,1.18
05-06-2021T22:00,41.75,0.58
05-06-2021T23:00,35.17,0.25
06-06-2021T00:00,24.83,0.33
06-06-2021T01:00,25.83,0
06-06-2021T02:00,34.17,0
06-06-2021T03:00,40.33,0
06-06-2021T04:00,43.67,0.5
06-06-2021T05:00,37.17,0.67
06-06-2021T06:00,35.92,0.5
06-06-2021T07:00,38.58,0.75
06-06-2021T08:00,35.58,0.58
06-06-2021T09:00,47.08,1.58
06-06-2021T10:00,56.67,0.92
06-06-2021T11:00,67.89,1.44
06-06-2021T12:00,75.92,1.67
06-06-2021T13:00,73.92,2.67
06-06-2021T14:00,75.17,1.83
06-06-2021T15:00,68.33,1.67
06-06-2021T16:00,58.92,1.58
06-06-2021T17:00,53.58,1.17
06-06-2021T18:00,44.67,0.5
06-06-2021T19:00,50.5,0.5
06-06-2021T20:00,55.67,0
06-06-2021T21:00,58.42,0
06-06-2021T22:00,42.42,0.33
06-06-2021T23:00,31.25,0.42
07-06-2021T00:00,32.08,0
07-06-2021T01:00,28.67,0.42
07-06-2021T02:00,25.5,0.58
07-06-2021T03:00,21.25,0.17
07-06-2021T04:00,23.58,0
07-06-2021T05:00,16.33,0.08
07-06-2021T06:00,18.42,0
07-06-2021T07:00,24.17,0
07-06-2021T08:00,27.75,0
07-06-2021T09:00,38.58,0.17
07-06-2021T10:00,42.67,1.5
07-06-2021T11:00,47.33,1.08
07-06-2021T12:00,48.5,2.33
07-06-2021T13:00,54.83,2.75
07-06-2021T14:00,58.25,0.58
07-06-2021T15:00,55.5,1.83
07-06-2021T16:00,54.92,0.5
07-06-2021T17:00,51,1.17
07-06-2021T18:00,53,0.33
07-06-2021T19:00,54.17,1.67
07-06-2021T20:00,57.58,1.42
07-06-2021T21:00,44.25,0.92
07-06-2021T22:00,40.58,2.08
07-06-2021T23:00,34.33,0.5
08-06-2021T00:00,30.25,0
08-06-2021T01:00,28.08,0
08-06-2021T02:00,22.92,0.58
08-06-2021T03:00,16.67,0.42
08-06-2021T04:00,25.5,0.83
08-06-2021T05:00,26.33,0.58
08-06-2021T06:00,21.17,0
08-06-2021T07:00,24.25,0.17
08-06-2021T08:00,23.17,0
08-06-2021T09:00,23.83,0.75
08-06-2021T10:00,32.25,0.75
08-06-2021T11:00,33.5,0
08-06-2021T12:00,38,0.25
08-06-2021T13:00,47.17,0.25
08-06-2021T14:00,57,0.92
08-06-2021T15:00,49.08,1.75
08-06-2021T16:00,46.92,0.92
08-06-2021T17:00,44.42,0.5
08-06-2021T18:00,40.67,0.67
08-06-2021T19:00,39.83,0
08-06-2021T20:00,50.67,0.08
08-06-2021T21:00,45.08,0.67
08-06-2021T22:00,36.5,0.58
08-06-2021T23:00,31.33,1.33
09-06-2021T00:00,23.92,0.08
09-06-2021T01:00,23.08,1
09-06-2021T02:00,16.33,0.08
09-06-2021T03:00,16.25,0
09-06-2021T04:00,14.25,0.33
09-06-2021T05:00,16.08,0.25
09-06-2021T06:00,12.75,0
09-06-2021T07:00,15.58,0.42
09-06-2021T08:00,14,0
09-06-2021T09:00,15.67,1.5
09-06-2021T10:00,26.08,0.83
09-06-2021T11:00,31.5,1.17
09-06-2021T12:00,37.25,0.58
09-06-2021T13:00,38.33,1.42
09-06-2021T14:00,49.42,2.17
09-06-2021T15:00,54.67,1.5
09-06-2021T16:00,47.58,0.5
09-06-2021T17:00,37.33,0.58
09-06-2021T18:00,33.58,0
09-06-2021T19:00,38.17,0.08
09-06-2021T20:00,42.5,1.17
09-06-2021T21:00,38,1.67
09-06-2021T22:00,31.67,1
09-06-2021T23:00,29.75,1.83
10-06-2021T00:00,28.33,1.25
10-06-2021T01:00,25.67,0.25
10-06-2021T10:00,20.33,1
10-06-2021T11:00,41.17,1.42
10-06-2021T12:00,45.08,0.75
10-06-2021T13:00,50.42,0.17
10-06-2021T14:00,52.67,1.25
10-06-2021T15:00,47.75,0.42
10-06-2021T16:00,44.33,1.33
10-06-2021T17:00,44.25,0.75
10-06-2021T18:00,45.67,0.33
10-06-2021T19:00,46.17,0.5
10-06-2021T20:00,51.83,1.17
10-06-2021T21:00,46.75,0.5
10-06-2021T22:00,29.58,1.5
10-06-2021T23:00,23.17,1.67
11-06-2021T00:00,23.42,1.33
11-06-2021T01:00,24.5,1.08
11-06-2021T02:00,20.42,0
11-06-2021T03:00,18.67,0
11-06-2021T04:00,12.92,0
11-06-2021T05:00,8.67,0
11-06-2021T06:00,16.08,0
11-06-2021T07:00,20.75,0
11-06-2021T08:00,25.08,0
11-06-2021T09:00,33.5,0.67
11-06-2021T10:00,35.25,0.67
11-06-2021T11:00,43.08,0.58
11-06-2021T12:00,50.08,1.17
11-06-2021T13:00,48,3.25
11-06-2021T14:00,49.83,2.17
11-06-2021T15:00,63,1
11-06-2021T16:00,64.92,0.42
11-06-2021T17:00,54.75,0.25
11-06-2021T18:00,49.25,1.67
11-06-2021T19:00,60.83,1.75
11-06-2021T20:00,62.33,1.25
11-06-2021T21:00,50.33,1.33
11-06-2021T22:00,43.67,1.42
11-06-2021T23:00,36.67,2.75
12-06-2021T00:00,31.92,0
