Time,Players,LFMs
23-02-2020T00:00,35.19,0
01-03-2020T00:00,35.9,0
08-03-2020T00:00,36.17,0
15-03-2020T00:00,46.13,0
22-03-2020T00:00,60.75,0
29-03-2020T00:00,62.92,0.09
05-04-2020T00:00,60.37,3.52
12-04-2020T00:00,63.3,2.81
19-04-2020T00:00,61.89,2.59
26-04-2020T00:00,62.59,2.67
03-05-2020T00:00,59.94,1.97
10-05-2020T00:00,58.63,2.14
17-05-2020T00:00,55.7,1.75
24-05-2020T00:00,54.45,1.91
31-05-2020T00:00,56.96,1.93
07-06-2020T00:00,55.03,1.53
14-06-2020T00:00,52.52,1.34
21-06-2020T00:00,45.46,1.42
28-06-2020T00:00,44.41,1.19
05-07-2020T00:00,45.99,1.06
12-07-2020T00:00,38.9,1.1
19-07-2020T00:00,42.53,1.19
26-07-2020T00:00,48.04,1.31
02-08-2020T00:00,78.28,2.47
09-08-2020T00:00,129.25,3.81
16-08-2020T00:00,155.61,3.95
23-08-2020T00:00,115.26,2.65
30-08-2020T00:00,83.42,1.65
06-09-2020T00:00,79.01,1.91
13-09-2020T00:00,75.25,1.64
20-09-2020T00:00,74.26,1.77
27-09-2020T00:00,64.35,1.72
04-10-2020T00:00,61.88,1.35
11-10-2020T00:00,62.95,1.42
18-10-2020T00:00,60.36,1.06
25-10-2020T00:00,60.67,1.15
01-11-2020T00:00,56.61,1.26
08-11-2020T00:00,55.36,1.23
15-11-2020T00:00,50.73,1.61
22-11-2020T00:00,60.46,1.51
29-11-2020T00:00,53.52,1.48
06-12-2020T00:00,51.47,1.34
13-12-2020T00:00,53.28,1
20-12-2020T00:00,55.71,0.94
27-12-2020T00:00,59.05,1.08
03-01-2021T00:00,50.63,0.92
10-01-2021T00:00,49.49,0.95
17-01-2021T00:00,55.32,1.08
24-01-2021T00:00,53.51,1.13
31-01-2021T00:00,53.17,1.14
07-02-2021T00:00,48.33,1.06
14-02-2021T00:00,54.96,1.26
21-02-2021T00:00,56.23,0.92
28-02-2021T00:00,58.96,1.28
07-03-2021T00:00,53.9,1.07
14-03-2021T00:00,55.06,1.3
21-03-2021T00:00,51.78,1.56
28-03-2021T00:00,45.19,1.08
04-04-2021T00:00,43.8,0.96
11-04-2021T00:00,43.69,1.2
18-04-2021T00:00,40.69,1.16
25-04-2021T00:00,44.9,1.29
02-05-2021T00:00,43.65,1.05
09-05-2021T00:00,43.46,0.9
16-05-2021T00:00,43.75,1.27
23-05-2021T00:00,42.45,0.96
