Time,Players,LFMs
11-06-2021T02:00,20,0
11-06-2021T02:05,22,0
11-06-2021T02:10,22,0
11-06-2021T02:15,21,0
11-06-2021T02:20,19,0
11-06-2021T02:25,21,0
11-06-2021T02:30,21,0
11-06-2021T02:35,21,0
11-06-2021T02:40,17,0
11-06-2021T02:45,22,0
11-06-2021T02:50,19,0
11-06-2021T02:55,20,0
11-06-2021T03:00,18,0
11-06-2021T03:05,18,0
11-06-2021T03:10,18,0
11-06-2021T03:15,19,0
11-06-2021T03:20,18,0
11-06-2021T03:25,18,0
11-06-2021T03:30,18,0
11-06-2021T03:35,18,0
11-06-2021T03:40,19,0
11-06-2021T03:45,19,0
11-06-2021T03:50,21,0
11-06-2021T03:55,20,0
11-06-2021T04:00,18,0
11-06-2021T04:05,17,0
11-06-2021T04:10,16,0
11-06-2021T04:15,17,0
11-06-2021T04:20,15,0
11-06-2021T04:25,15,0
11-06-2021T04:30,13,0
11-06-2021T04:35,10,0
11-06-2021T04:40,10,0
11-06-2021T04:45,8,0
11-06-2021T04:50,8,0
11-06-2021T04:55,8,0
11-06-2021T05:00,8,0
11-06-2021T05:05,6,0
11-06-2021T05:10,5,0
11-06-2021T05:15,7,0
11-06-2021T05:20,9,0
11-06-2021T05:25,11,0
11-06-2021T05:30,12,0
11-06-2021T05:35,11,0
11-06-2021T05:40,8,0
11-06-2021T05:45,9,0
11-06-2021T05:50,8,0
11-06-2021T05:55,10,0
11-06-2021T06:00,11,0
11-06-2021T06:05,13,0
11-06-2021T06:10,14,0
11-06-2021T06:15,13,0
11-06-2021T06:20,14,0
11-06-2021T06:25,18,0
11-06-2021T06:30,20,0
11-06-2021T06:35,19,0
11-06-2021T06:40,20,0
11-06-2021T06:45,18,0
11-06-2021T06:50,18,0
11-06-2021T06:55,15,0
11-06-2021T07:00,17,0
11-06-2021T07:05,19,0
11-06-2021T07:10,19,0
11-06-2021T07:15,19,0
11-06-2021T07:20,19,0
11-06-2021T07:25,21,0
11-06-2021T07:30,22,0
11-06-2021T07:35,22,0
11-06-2021T07:40,23,0
11-06-2021T07:45,24,0
11-06-2021T07:50,21,0
11-06-2021T07:55,23,0
11-06-2021T08:00,23,0
11-06-2021T08:05,22,0
11-06-2021T08:10,22,0
11-06-2021T08:15,23,0
11-06-2021T08:20,25,0
11-06-2021T08:25,26,0
11-06-2021T08:30,26,0
11-06-2021T08:35,26,0
11-06-2021T08:40,27,0
11-06-2021T08:45,26,0
11-06-2021T08:50,28,0
11-06-2021T08:55,27,0
11-06-2021T09:00,28,0
11-06-2021T09:05,28,0
11-06-2021T09:10,29,0
11-06-2021T09:15,33,0
11-06-2021T09:20,33,0
11-06-2021T09:25,34,0
11-06-2021T09:30,35,0
11-06-2021T09:35,34,0
11-06-2021T09:40,35,1
11-06-2021T09:45,38,2
11-06-2021T09:50,37,3
11-06-2021T09:55,38,2
11-06-2021T10:00,40,1
11-06-2021T10:05,38,1
11-06-2021T10:10,38,1
11-06-2021T10:15,40,1
11-06-2021T10:20,36,1
11-06-2021T10:25,36,1
11-06-2021T10:30,32,0
11-06-2021T10:35,31,0
11-06-2021T10:40,32,1
11-06-2021T10:45,32,1
11-06-2021T10:50,36,0
11-06-2021T10:55,32,0
11-06-2021T11:00,33,0
11-06-2021T11:05,35,0
11-06-2021T11:10,36,0
11-06-2021T11:15,39,0
11-06-2021T11:20,41,1
11-06-2021T11:25,44,1
11-06-2021T11:30,47,1
11-06-2021T11:35,48,1
11-06-2021T11:40,47,1
11-06-2021T11:45,47,1
11-06-2021T11:50,47,1
11-06-2021T11:55,53,0
11-06-2021T12:00,52,2
11-06-2021T12:05,53,2
11-06-2021T12:10,46,2
11-06-2021T12:15,47,2
11-06-2021T12:20,46,1
11-06-2021T12:25,49,0
11-06-2021T12:30,52,0
11-06-2021T12:35,52,1
11-06-2021T12:40,51,1
11-06-2021T12:45,53,1
11-06-2021T12:50,52,1
11-06-2021T12:55,48,1
11-06-2021T13:00,50,2
11-06-2021T13:05,50,2
11-06-2021T13:10,54,4
11-06-2021T13:15,56,5
11-06-2021T13:20,47,5
11-06-2021T13:25,46,4
11-06-2021T13:30,48,4
11-06-2021T13:35,48,4
11-06-2021T13:40,46,3
11-06-2021T13:45,45,3
11-06-2021T13:50,44,2
11-06-2021T13:55,42,1
11-06-2021T14:00,45,2
11-06-2021T14:05,47,2
11-06-2021T14:10,46,2
11-06-2021T14:15,47,2
11-06-2021T14:20,50,2
11-06-2021T14:25,51,2
11-06-2021T14:30,50,2
11-06-2021T14:35,50,2
11-06-2021T14:40,49,2
11-06-2021T14:45,51,3
11-06-2021T14:50,55,3
11-06-2021T14:55,57,2
11-06-2021T15:00,62,2
11-06-2021T15:05,63,2
11-06-2021T15:10,66,1
11-06-2021T15:15,64,2
11-06-2021T15:20,65,0
11-06-2021T15:25,63,0
11-06-2021T15:30,59,1
11-06-2021T15:35,59,1
11-06-2021T15:40,64,1
11-06-2021T15:45,64,1
11-06-2021T15:50,64,0
11-06-2021T15:55,63,1
11-06-2021T16:00,64,0
11-06-2021T16:05,70,0
11-06-2021T16:10,67,1
11-06-2021T16:15,65,1
11-06-2021T16:20,66,1
11-06-2021T16:25,63,0
11-06-2021T16:30,65,1
11-06-2021T16:35,63,1
11-06-2021T16:40,64,0
11-06-2021T16:45,64,0
11-06-2021T16:50,65,0
11-06-2021T16:55,63,0
11-06-2021T17:00,62,0
11-06-2021T17:05,55,0
11-06-2021T17:10,59,0
11-06-2021T17:15,57,0
11-06-2021T17:20,57,0
11-06-2021T17:25,56,0
11-06-2021T17:30,50,0
11-06-2021T17:35,54,0
11-06-2021T17:40,54,0
11-06-2021T17:45,50,1
11-06-2021T17:50,50,1
11-06-2021T17:55,53,1
11-06-2021T18:00,52,2
11-06-2021T18:05,50,2
11-06-2021T18:10,48,1
11-06-2021T18:15,50,2
11-06-2021T18:20,48,1
11-06-2021T18:25,49,1
11-06-2021T18:30,47,1
11-06-2021T18:35,49,2
11-06-2021T18:40,48,2
11-06-2021T18:45,47,2
11-06-2021T18:50,51,2
11-06-2021T18:55,52,2
11-06-2021T19:00,51,1
11-06-2021T19:05,52,2
11-06-2021T19:10,56,2
11-06-2021T19:15,56,1
11-06-2021T19:20,55,2
