Time,Players,LFMs
3-4-2020T00:00,62.93,0.00
4-4-2020T00:00,72.12,0.00
5-4-2020T00:00,72.23,1.28
6-4-2020T00:00,54.05,3.65
7-4-2020T00:00,55.64,3.94
8-4-2020T00:00,50.93,5.23
9-4-2020T00:00,52.19,3.19
10-4-2020T00:00,68.27,3.00
11-4-2020T00:00,71.00,2.90
12-4-2020T00:00,75.92,2.62
13-4-2020T00:00,65.56,2.46
14-4-2020T00:00,59.24,2.93
15-4-2020T00:00,54.15,2.68
16-4-2020T00:00,54.19,3.75
17-4-2020T00:00,63.71,2.31
18-4-2020T00:00,71.63,2.61
19-4-2020T00:00,71.96,3.18
20-4-2020T00:00,57.55,2.56
21-4-2020T00:00,60.41,2.30
22-4-2020T00:00,59.35,2.61
23-4-2020T00:00,52.42,1.64
24-4-2020T00:00,59.68,2.57
25-4-2020T00:00,79.58,3.64
26-4-2020T00:00,75.22,3.24
27-4-2020T00:00,58.86,3.11
28-4-2020T00:00,58.14,2.49
29-4-2020T00:00,57.11,2.19
30-4-2020T00:00,55.77,3.14
1-5-2020T00:00,64.94,1.98
2-5-2020T00:00,72.96,3.01
3-5-2020T00:00,73.33,2.76
4-5-2020T00:00,58.96,1.90
5-5-2020T00:00,54.34,1.60
6-5-2020T00:00,53.98,1.66
7-5-2020T00:00,55.17,1.53
8-5-2020T00:00,61.42,1.40
9-5-2020T00:00,68.95,2.73
10-5-2020T00:00,66.86,3.10
11-5-2020T00:00,55.31,1.82
12-5-2020T00:00,53.58,2.31
13-5-2020T00:00,54.65,2.11
14-5-2020T00:00,54.88,1.61
15-5-2020T00:00,56.05,1.95
16-5-2020T00:00,72.82,2.90
17-5-2020T00:00,63.97,2.47
18-5-2020T00:00,49.77,1.66
19-5-2020T00:00,51.34,1.98
20-5-2020T00:00,49.24,1.59
21-5-2020T00:00,53.63,1.26
22-5-2020T00:00,57.91,1.98
23-5-2020T00:00,61.27,1.77
24-5-2020T00:00,71.71,2.02
25-5-2020T00:00,58.41,2.34
26-5-2020T00:00,48.98,1.34
27-5-2020T00:00,41.90,1.57
28-5-2020T00:00,48.77,1.55
29-5-2020T00:00,56.88,1.59
30-5-2020T00:00,62.38,2.42
31-5-2020T00:00,65.43,2.52
1-6-2020T00:00,53.61,2.08
