Time,Players,LFMs
31-10-2020T18:00,106.17,1.17
31-10-2020T19:00,98.83,2.42
31-10-2020T20:00,92.83,2.17
31-10-2020T21:00,80.83,0.83
31-10-2020T22:00,79.83,0.33
31-10-2020T23:00,66.50,0.17
1-11-2020T0:00,57.58,0.67
1-11-2020T1:00,46.00,0.33
1-11-2020T2:00,39.17,0.33
1-11-2020T3:00,40.17,0.42
1-11-2020T4:00,0.00,0.00
1-11-2020T5:00,53.58,1.67
1-11-2020T6:00,47.75,1.17
1-11-2020T7:00,51.67,0.50
1-11-2020T8:00,59.50,1.08
1-11-2020T9:00,69.42,0.67
1-11-2020T10:00,76.00,2.67
1-11-2020T11:00,90.08,3.08
1-11-2020T12:00,91.18,3.36
1-11-2020T13:00,91.20,1.60
1-11-2020T14:00,101.58,2.00
1-11-2020T15:00,113.00,3.00
1-11-2020T16:00,122.33,3.33
1-11-2020T17:00,118.92,2.25
1-11-2020T18:00,99.50,2.50
1-11-2020T19:00,91.08,1.83
1-11-2020T20:00,93.42,1.67
1-11-2020T21:00,90.92,1.92
1-11-2020T22:00,79.17,1.92
1-11-2020T23:00,61.00,0.08
2-11-2020T0:00,43.17,1.08
2-11-2020T1:00,39.50,0.58
2-11-2020T2:00,44.50,1.17
2-11-2020T3:00,35.58,1.08
2-11-2020T4:00,30.83,0.33
2-11-2020T5:00,31.50,0.00
2-11-2020T6:00,29.00,0.67
2-11-2020T7:00,29.00,1.00
2-11-2020T8:00,35.75,1.83
2-11-2020T9:00,32.08,0.75
2-11-2020T10:00,35.92,0.92
2-11-2020T11:00,45.08,1.00
2-11-2020T12:00,54.08,1.58
2-11-2020T13:00,58.50,1.92
2-11-2020T14:00,74.67,3.42
2-11-2020T15:00,82.67,1.75
2-11-2020T16:00,87.92,1.00
2-11-2020T17:00,89.00,2.92
2-11-2020T18:00,83.00,2.50
2-11-2020T19:00,71.25,2.00
2-11-2020T20:00,72.58,2.00
2-11-2020T21:00,78.25,3.08
2-11-2020T22:00,72.08,2.33
2-11-2020T23:00,59.00,2.50
3-11-2020T0:00,42.08,0.25
3-11-2020T1:00,36.50,0.33
3-11-2020T2:00,32.33,0.00
3-11-2020T3:00,31.33,0.00
3-11-2020T4:00,28.92,0.33
3-11-2020T5:00,21.67,1.00
3-11-2020T6:00,28.25,1.08
3-11-2020T7:00,24.00,1.17
3-11-2020T8:00,29.00,1.17
3-11-2020T9:00,38.25,2.67
3-11-2020T10:00,44.08,1.17
3-11-2020T11:00,45.75,0.75
3-11-2020T12:00,53.25,1.08
3-11-2020T13:00,61.75,2.00
3-11-2020T14:00,79.17,1.58
3-11-2020T15:00,81.67,1.17
3-11-2020T16:00,83.08,0.58
3-11-2020T17:00,76.75,1.75
3-11-2020T18:00,73.08,1.50
3-11-2020T19:00,69.33,0.33
3-11-2020T20:00,62.75,1.08
3-11-2020T21:00,57.00,1.75
3-11-2020T22:00,57.33,2.00
3-11-2020T23:00,54.58,1.50
4-11-2020T0:00,51.25,0.67
4-11-2020T1:00,39.25,1.00
4-11-2020T2:00,28.83,1.17
4-11-2020T3:00,24.75,1.83
4-11-2020T4:00,25.33,1.25
4-11-2020T5:00,20.42,0.25
4-11-2020T6:00,21.58,0.00
4-11-2020T7:00,28.42,0.33
4-11-2020T8:00,35.33,1.42
4-11-2020T9:00,39.25,0.58
4-11-2020T10:00,43.42,0.42
4-11-2020T11:00,43.42,0.50
4-11-2020T12:00,51.50,1.33
4-11-2020T13:00,63.50,2.17
4-11-2020T14:00,82.00,2.40
4-11-2020T15:00,86.17,1.08
4-11-2020T16:00,75.58,1.58
4-11-2020T17:00,72.17,1.17
4-11-2020T18:00,76.25,0.08
4-11-2020T19:00,69.50,0.08
4-11-2020T20:00,71.00,2.25
4-11-2020T21:00,77.58,0.67
4-11-2020T22:00,62.42,0.42
4-11-2020T23:00,57.25,1.42
5-11-2020T0:00,36.92,0.00
5-11-2020T1:00,32.42,0.67
5-11-2020T2:00,27.92,0.00
5-11-2020T3:00,30.17,0.00
5-11-2020T4:00,23.33,0.67
5-11-2020T5:00,23.92,0.83
5-11-2020T6:00,26.00,1.00
5-11-2020T7:00,26.92,0.50
5-11-2020T8:00,22.08,0.00
5-11-2020T9:00,0.50,0.00
5-11-2020T10:00,0.00,0.00
5-11-2020T11:00,0.00,0.00
5-11-2020T12:00,0.00,0.00
5-11-2020T13:00,4.73,0.18
5-11-2020T14:00,61.08,0.75
5-11-2020T15:00,67.25,1.83
5-11-2020T16:00,70.75,1.58
5-11-2020T17:00,78.33,0.67
5-11-2020T18:00,79.17,1.00
5-11-2020T19:00,69.83,1.50
5-11-2020T20:00,68.50,1.58
5-11-2020T21:00,66.83,1.25
5-11-2020T22:00,54.58,0.33
5-11-2020T23:00,54.42,1.00
6-11-2020T0:00,51.50,1.08
6-11-2020T1:00,47.08,0.17
6-11-2020T2:00,35.00,0.00
6-11-2020T3:00,28.50,0.00
6-11-2020T4:00,32.25,0.00
6-11-2020T5:00,28.92,0.50
6-11-2020T6:00,31.08,0.75
6-11-2020T7:00,30.08,0.00
6-11-2020T8:00,31.58,0.00
6-11-2020T9:00,35.75,0.25
6-11-2020T10:00,41.50,1.33
6-11-2020T11:00,44.50,0.42
6-11-2020T12:00,62.00,1.33
6-11-2020T13:00,62.67,1.67
6-11-2020T14:00,75.33,1.42
6-11-2020T15:00,79.17,2.83
6-11-2020T16:00,74.50,2.92
6-11-2020T17:00,74.83,3.42
6-11-2020T18:00,81.58,2.25
6-11-2020T19:00,77.42,2.17
6-11-2020T20:00,87.83,2.08
6-11-2020T21:00,87.50,0.08
6-11-2020T22:00,76.17,0.83
6-11-2020T23:00,69.50,1.25
7-11-2020T0:00,68.50,1.17
7-11-2020T1:00,53.42,1.08
7-11-2020T2:00,43.92,0.67
7-11-2020T3:00,41.08,0.00
7-11-2020T4:00,34.00,0.00
7-11-2020T5:00,39.83,0.75
7-11-2020T6:00,38.42,0.00
7-11-2020T7:00,37.25,0.67
7-11-2020T8:00,47.50,1.42
7-11-2020T9:00,53.83,2.08
7-11-2020T10:00,60.33,0.92
7-11-2020T11:00,64.50,0.75
7-11-2020T12:00,62.25,1.83
7-11-2020T13:00,79.33,2.00
7-11-2020T14:00,90.92,3.00
7-11-2020T15:00,97.92,3.17
7-11-2020T16:00,100.25,1.67
7-11-2020T17:00,99.67,1.67
7-11-2020T18:00,90.00,1.17
7-11-2020T19:00,92.58,2.08
7-11-2020T20:00,93.33,2.42
7-11-2020T21:00,85.75,1.17
7-11-2020T22:00,82.42,1.50
7-11-2020T23:00,74.75,2.33
8-11-2020T0:00,74.83,2.58
8-11-2020T1:00,69.42,3.25
8-11-2020T2:00,48.50,2.58
8-11-2020T3:00,47.00,1.08
8-11-2020T4:00,49.25,0.17
8-11-2020T5:00,50.83,0.08
8-11-2020T6:00,59.17,0.25
8-11-2020T7:00,55.67,0.00
8-11-2020T8:00,57.25,0.33
8-11-2020T9:00,80.58,0.33
8-11-2020T10:00,90.75,2.17
8-11-2020T11:00,91.50,4.00
8-11-2020T12:00,90.00,5.08
8-11-2020T13:00,89.50,2.58
8-11-2020T14:00,79.67,5.67
8-11-2020T15:00,91.33,4.17
8-11-2020T16:00,90.00,1.50
8-11-2020T17:00,92.00,3.00
8-11-2020T18:00,82.92,2.08
8-11-2020T19:00,76.00,1.75
8-11-2020T20:00,82.33,1.50
8-11-2020T21:00,84.92,2.25
8-11-2020T22:00,66.50,1.50
8-11-2020T23:00,54.00,3.42
9-11-2020T0:00,51.67,2.08
9-11-2020T1:00,34.00,1.42
9-11-2020T2:00,26.67,0.33
9-11-2020T3:00,29.00,0.00
9-11-2020T4:00,22.58,0.00
9-11-2020T5:00,20.58,0.00
9-11-2020T6:00,22.92,0.00
9-11-2020T7:00,25.08,0.17
9-11-2020T8:00,26.50,0.25
9-11-2020T9:00,33.50,0.00
9-11-2020T10:00,28.42,0.08
9-11-2020T11:00,40.50,0.92
9-11-2020T12:00,57.50,0.67
9-11-2020T13:00,69.83,1.00
9-11-2020T14:00,76.58,1.42
9-11-2020T15:00,88.00,1.50
9-11-2020T16:00,83.83,0.75
9-11-2020T17:00,63.08,0.83
9-11-2020T18:00,56.58,1.58
9-11-2020T19:00,59.42,0.50
9-11-2020T20:00,62.83,0.33
9-11-2020T21:00,67.17,0.83
9-11-2020T22:00,54.83,1.67
9-11-2020T23:00,51.92,0.83
10-11-2020T0:00,44.92,1.75
10-11-2020T1:00,35.33,0.75
10-11-2020T2:00,29.83,0.58
10-11-2020T3:00,23.50,0.58
10-11-2020T4:00,18.58,0.08
10-11-2020T5:00,17.17,0.00
10-11-2020T6:00,18.50,0.25
10-11-2020T7:00,28.25,0.00
10-11-2020T8:00,28.58,0.00
10-11-2020T9:00,27.67,0.00
10-11-2020T10:00,37.50,0.00
10-11-2020T11:00,36.83,0.83
10-11-2020T12:00,50.92,0.42
10-11-2020T13:00,55.08,0.33
10-11-2020T14:00,57.92,0.83
10-11-2020T15:00,74.50,3.08
10-11-2020T16:00,81.83,1.42
10-11-2020T17:00,75.75,1.58
10-11-2020T18:00,56.58,0.83
10-11-2020T19:00,58.33,0.50
10-11-2020T20:00,52.33,0.00
10-11-2020T21:00,55.00,0.42
10-11-2020T22:00,56.75,1.42
10-11-2020T23:00,50.36,1.00
11-11-2020T0:00,43.08,0.25
11-11-2020T1:00,36.75,0.17
11-11-2020T2:00,31.42,0.00
11-11-2020T3:00,30.50,0.00
11-11-2020T4:00,32.25,0.58
11-11-2020T5:00,24.33,0.25
11-11-2020T6:00,29.75,0.92
11-11-2020T7:00,33.00,0.08
11-11-2020T8:00,33.08,0.08
11-11-2020T9:00,30.33,0.58
11-11-2020T10:00,37.00,0.17
11-11-2020T11:00,55.50,0.08
11-11-2020T12:00,62.75,0.08
11-11-2020T13:00,61.42,0.00
11-11-2020T14:00,72.42,0.58
11-11-2020T15:00,90.58,2.42
11-11-2020T16:00,91.08,3.67
11-11-2020T17:00,73.00,2.25
11-11-2020T18:00,74.08,1.67
11-11-2020T19:00,69.83,0.58
11-11-2020T20:00,73.08,1.08
11-11-2020T21:00,66.08,1.83
11-11-2020T22:00,65.75,0.42
11-11-2020T23:00,54.75,0.33
12-11-2020T0:00,42.17,0.08
12-11-2020T1:00,38.00,0.00
12-11-2020T2:00,38.33,0.00
12-11-2020T3:00,26.42,0.83
12-11-2020T4:00,18.50,0.08
12-11-2020T5:00,24.25,0.00
12-11-2020T6:00,30.92,0.42
12-11-2020T7:00,34.17,1.42
12-11-2020T8:00,25.42,0.00
12-11-2020T9:00,0.83,0.08
12-11-2020T10:00,0.00,0.00
12-11-2020T11:00,0.00,0.00
12-11-2020T12:00,36.42,0.75
12-11-2020T13:00,61.25,1.50
12-11-2020T14:00,70.67,3.25
12-11-2020T15:00,89.75,3.83
12-11-2020T16:00,95.50,3.08
12-11-2020T17:00,75.08,1.25
12-11-2020T18:00,60.50,0.75
12-11-2020T19:00,60.08,2.75
12-11-2020T20:00,58.17,2.25
12-11-2020T21:00,66.75,2.75
12-11-2020T22:00,68.67,1.75
12-11-2020T23:00,61.42,2.17
13-11-2020T0:00,54.83,1.33
13-11-2020T1:00,40.00,0.75
13-11-2020T2:00,37.58,0.25
13-11-2020T3:00,35.17,0.58
13-11-2020T4:00,32.83,0.75
13-11-2020T5:00,33.42,0.58
13-11-2020T6:00,34.50,1.58
13-11-2020T7:00,40.42,1.42
13-11-2020T8:00,42.58,1.25
13-11-2020T9:00,42.08,1.75
13-11-2020T10:00,52.50,1.50
13-11-2020T11:00,56.83,0.00
13-11-2020T12:00,60.67,2.00
13-11-2020T13:00,76.33,1.83
13-11-2020T14:00,83.92,1.25
13-11-2020T15:00,85.58,3.00
13-11-2020T16:00,85.83,3.92
13-11-2020T17:00,73.50,2.17
13-11-2020T18:00,66.42,1.92
13-11-2020T19:00,70.58,1.50
13-11-2020T20:00,82.08,1.17
13-11-2020T21:00,92.83,1.67
13-11-2020T22:00,73.58,1.50
13-11-2020T23:00,59.92,1.67
14-11-2020T0:00,42.00,0.50
14-11-2020T1:00,38.75,1.92
14-11-2020T2:00,40.08,1.00
14-11-2020T3:00,45.50,1.25
14-11-2020T4:00,41.50,1.08
14-11-2020T5:00,36.33,0.58
14-11-2020T6:00,37.83,1.58
14-11-2020T7:00,45.17,1.00
14-11-2020T8:00,52.25,2.00
14-11-2020T9:00,55.33,2.92
14-11-2020T10:00,75.50,1.58
14-11-2020T11:00,83.33,2.58
14-11-2020T12:00,82.08,2.33
14-11-2020T13:00,78.83,2.42
14-11-2020T14:00,92.83,1.00
14-11-2020T15:00,106.42,3.00
14-11-2020T16:00,113.08,2.42
14-11-2020T17:00,98.00,1.42
14-11-2020T18:00,100.42,1.00
14-11-2020T19:00,101.33,4.58
14-11-2020T20:00,94.67,3.00
14-11-2020T21:00,80.60,1.40
14-11-2020T22:00,0.00,0.00
14-11-2020T23:00,62.80,0.20
15-11-2020T0:00,57.58,0.50
15-11-2020T1:00,47.33,0.42
15-11-2020T2:00,41.17,0.42
15-11-2020T3:00,28.92,1.00
15-11-2020T4:00,41.92,1.08
15-11-2020T5:00,52.17,1.25
15-11-2020T6:00,51.83,0.83
15-11-2020T7:00,59.17,0.83
15-11-2020T8:00,68.00,1.75
15-11-2020T9:00,76.00,2.00
15-11-2020T10:00,78.42,2.25
15-11-2020T11:00,89.75,2.58
15-11-2020T12:00,74.33,4.42
15-11-2020T13:00,71.08,3.25
15-11-2020T14:00,86.83,3.17
15-11-2020T15:00,98.33,4.83
15-11-2020T16:00,89.67,1.67
15-11-2020T17:00,93.67,3.33
15-11-2020T18:00,87.55,2.09
15-11-2020T19:00,81.67,1.00
15-11-2020T20:00,79.58,1.92
15-11-2020T21:00,77.08,3.33
15-11-2020T22:00,63.25,3.08
15-11-2020T23:00,59.33,2.58
16-11-2020T0:00,44.58,2.25
16-11-2020T1:00,31.08,1.25
16-11-2020T2:00,30.58,1.25
16-11-2020T3:00,22.75,0.00
16-11-2020T4:00,29.00,0.83
16-11-2020T5:00,30.50,0.92
16-11-2020T6:00,26.58,0.42
16-11-2020T7:00,25.42,1.58
16-11-2020T8:00,29.33,2.50
16-11-2020T9:00,24.58,1.92
16-11-2020T10:00,36.50,0.83
16-11-2020T11:00,42.83,1.67
16-11-2020T12:00,54.25,4.25
16-11-2020T13:00,58.75,2.25
16-11-2020T14:00,70.58,1.92
16-11-2020T15:00,76.75,2.33
16-11-2020T16:00,67.83,2.67
16-11-2020T17:00,64.42,2.42
16-11-2020T18:00,63.08,2.92
16-11-2020T19:00,74.50,2.00
16-11-2020T20:00,71.33,4.17
16-11-2020T21:00,62.83,2.17
16-11-2020T22:00,63.92,3.00
16-11-2020T23:00,46.25,0.92
17-11-2020T0:00,34.67,1.00
17-11-2020T1:00,31.42,0.67
17-11-2020T2:00,29.92,0.00
17-11-2020T3:00,23.75,0.00
17-11-2020T4:00,20.83,0.75
17-11-2020T5:00,21.50,0.75
17-11-2020T6:00,21.00,0.75
17-11-2020T7:00,15.67,0.58
17-11-2020T8:00,18.08,1.33
17-11-2020T9:00,0.33,0.00
17-11-2020T10:00,0.00,0.00
17-11-2020T11:00,0.00,0.00
17-11-2020T12:00,0.00,0.00
17-11-2020T13:00,44.58,1.25
17-11-2020T14:00,75.75,3.25
17-11-2020T15:00,78.25,2.00
17-11-2020T16:00,78.17,1.75
17-11-2020T17:00,62.75,3.58
17-11-2020T18:00,60.58,2.58
17-11-2020T19:00,61.08,2.75
17-11-2020T20:00,65.82,2.73
17-11-2020T21:00,66.90,1.50
17-11-2020T22:00,61.83,1.75
17-11-2020T23:00,49.17,1.42
18-11-2020T0:00,38.50,0.08
18-11-2020T1:00,32.50,0.92
18-11-2020T2:00,26.92,0.33
18-11-2020T3:00,24.33,0.50
18-11-2020T4:00,16.17,0.83
18-11-2020T5:00,19.92,0.50
18-11-2020T6:00,20.00,0.67
18-11-2020T7:00,21.17,0.67
18-11-2020T8:00,23.00,0.92
18-11-2020T9:00,26.67,1.92
18-11-2020T10:00,31.83,0.42
